deso,hyresrätt,bostadsrätt,äganderätt,uppgift saknas,,"Antal lägenheter efter år, region och upplåtelseform"
0180C4970,392,62,500,0,,
0180C4980,402,375,0,0,,
0180C4990,346,578,0,0,,
0180C5000,273,742,3,0,,
0180C5010,108,853,0,0,,
0180C5020,337,811,0,0,,
0180C5030,649,559,0,0,,
0180C5040,279,884,0,0,,
0180C5050,374,758,0,0,,
0180C5060,177,1044,0,0,,
0180C5070,400,511,0,0,,
0180C5080,291,1050,0,0,,
0180C5090,331,753,0,0,,
0180C5100,523,582,0,0,,
0180C5110,93,853,0,0,,
0180C5120,324,659,2,0,,
0180C5130,163,548,0,0,,
0180C5140,326,494,0,0,,
0180C5150,16,46,545,0,,
0180C5160,191,623,27,0,,
0180C5170,445,455,0,0,,
0180C5180,438,293,0,0,,
0180C5190,462,281,0,0,,
0180C5200,238,646,0,0,,
0180C5210,414,1045,0,0,,
0180C5220,489,778,0,0,,
0180C5230,369,725,0,0,,
0180C5240,300,347,0,0,,
0180C5250,398,235,447,0,,
0180C5260,927,1873,50,0,,
0180C5270,277,780,0,0,,
0180C5280,85,655,0,0,,
0180C5290,358,824,0,0,,
0180C5300,465,718,0,0,,
0180C5310,460,745,0,0,,
0180C5320,162,733,0,0,,
0180C5330,1250,197,0,0,,
0180C5340,216,436,0,0,,
0180C5350,471,837,0,0,,
0180C5360,113,821,0,0,,
0180C5370,206,774,0,0,,
0180C5380,650,581,0,0,,
0180C5390,121,908,0,0,,
0180C5400,64,43,404,0,,
0180C5410,681,153,0,0,,
0180C5420,612,873,0,0,,
0180C5430,1645,450,0,0,,
0180C5440,349,542,0,0,,
0180C5450,161,1102,0,0,,
0180C5460,3,9,343,0,,
0180C5470,961,88,0,0,,
0180C5480,228,179,0,0,,
0180C5490,1493,337,0,0,,
0180C5500,296,524,38,0,,
0180C5510,566,219,48,0,,
0180C5520,0,661,0,0,,
0180C5530,833,432,0,0,,
0180C5540,208,784,139,0,,
0180C5550,43,563,33,0,,
0180C5560,9,13,276,0,,
0180C5570,415,543,0,0,,
0180C5580,809,240,0,0,,
0180C5590,354,581,0,0,,
0180C5600,774,144,29,0,,
0180C5610,590,145,0,0,,
0180C5620,544,329,62,0,,
0180C5630,182,550,38,0,,
0180C5640,20,7,379,0,,
0180C5650,811,1037,2,0,,
0180C5660,1035,224,0,0,,
0180C5670,986,11,0,0,,
0180C5680,999,136,220,0,,
0180C5690,645,1164,19,0,,
0180C5700,420,417,0,0,,
0180C5710,807,286,0,0,,
0180C5720,294,485,30,0,,
0180C5730,853,263,0,0,,
0180C5740,17,14,242,0,,
0180C5750,587,747,0,0,,
0180C5760,786,118,0,0,,
0180C5770,876,503,29,0,,
0180C5780,772,105,0,0,,
0180C5790,761,141,0,0,,
0180C5800,174,329,193,0,,
0180C5810,282,351,318,0,,
0180C5820,174,6,653,0,,
0180C5830,50,58,595,0,,
0180C5840,37,76,389,0,,
0180C5850,114,38,673,0,,
0180C5860,331,201,524,1,,
0180C5870,188,81,336,0,,
0180C5880,421,142,53,0,,
0180C5890,162,15,488,0,,
0180C5900,1853,0,0,0,,
0180C5910,476,268,293,0,,
0180C5920,1,16,576,0,,
0180C5930,1,28,539,0,,
0180C5940,7,203,239,0,,
0180C5950,1,14,396,0,,
0180C5960,43,247,374,0,,
0180C5970,9,66,606,0,,
0180C5980,692,0,0,0,,
0180C5990,0,5,705,0,,
0180C6000,405,206,224,0,,
0180C6010,341,228,230,0,,
0180C6020,0,0,754,0,,
0180C6030,2,103,549,0,,
0180C6040,101,159,408,0,,
0180C6050,16,32,655,0,,
0180C6060,65,181,671,0,,
0180C6070,699,0,0,0,,
0180C6080,111,26,411,0,,
0180C6090,658,42,9,0,,
0180C6100,530,0,0,0,,
0180C6110,631,0,0,0,,
0180C6120,726,0,0,0,,
0180C6130,336,575,34,0,,
0180C6140,181,434,0,0,,
0180C6150,937,227,130,0,,
0180C6160,580,0,0,0,,
0180C6170,557,119,0,0,,
0180C6180,713,0,0,0,,
0180C6190,17,66,684,0,,
0180C6200,449,220,0,0,,
0180C6210,699,0,74,0,,
0180C6220,578,113,36,0,,
0180C6230,924,0,0,0,,
0180C6240,849,0,12,0,,
0180C6250,542,235,0,0,,
0180C6260,666,0,0,0,,
0180C6270,231,441,0,0,,
0180C6280,199,619,0,0,,
0180C6290,37,247,458,0,,
0180C6300,357,818,0,0,,
0180C6310,817,0,0,0,,
0180C6320,0,942,0,0,,
0180C6330,865,442,0,0,,
0180C6340,3,675,0,0,,
0180C6350,974,0,0,0,,
0180C6360,754,0,0,0,,
0180C6370,603,0,0,0,,
0180C6380,936,0,0,0,,
0180C6390,259,691,24,0,,
0180C6400,0,909,0,0,,
0180C6410,0,505,172,0,,
0180C6420,594,359,0,0,,
0180C6430,464,518,0,0,,
0180C6440,5,823,0,0,,
0181A0010,164,33,340,1,,
0181A0020,68,5,619,0,,
0181A0030,397,61,632,0,,
0181A0040,210,331,76,0,,
0181A0050,57,0,407,0,,
0181A0060,26,12,589,0,,
0181B2010,351,144,552,0,,
0181B2020,329,0,300,0,,
0181B2030,878,82,299,0,,
0181B2040,75,189,358,0,,
0181B4010,156,23,477,0,,
0181B5010,151,49,303,0,,
0181C1010,155,0,670,0,,
0181C1020,94,374,456,0,,
0181C1030,527,250,0,0,,
0181C1040,577,694,56,0,,
0181C1050,429,295,0,0,,
0181C1060,778,0,0,0,,
0181C1070,780,0,111,0,,
0181C1080,686,0,20,0,,
0181C1090,546,82,209,0,,
0181C1100,559,178,199,0,,
0181C1110,436,301,119,0,,
0181C1120,325,0,183,0,,
0181C1130,488,559,67,0,,
0181C1140,274,278,283,0,,
0181C1150,808,0,54,0,,
0181C1160,924,193,131,0,,
0181C1170,643,285,2,0,,
0181C1180,585,519,64,0,,
0181C1190,596,0,1,0,,
0181C1200,683,229,82,0,,
0181C1210,397,488,0,0,,
0181C1220,960,0,113,0,,
0181C1230,505,0,3,0,,
0181C1240,443,684,18,0,,
0181C1250,338,445,119,0,,
0181C1260,710,0,160,0,,
0181C1270,608,8,189,0,,
0181C1280,1463,455,19,0,,
0181C1290,614,122,203,0,,
0181C1300,84,248,290,0,,
0181C1310,698,502,167,0,,
0181C1320,746,0,0,0,,
0181C1330,490,9,193,0,,
0181C1340,387,248,183,0,,
0181C1350,815,102,60,0,,
0181C1360,452,300,0,0,,
0181C1370,211,360,326,0,,
0181C1380,34,267,390,0,,
0181C1390,82,58,661,0,,
0182C1010,22,258,351,0,,
0182C1020,612,0,97,0,,
0182C1030,64,364,684,0,,
0182C1040,155,754,14,0,,
0182C1050,15,2,336,0,,
0182C1060,27,13,552,0,,
0182C1070,27,110,445,0,,
0182C1080,12,24,638,0,,
0182C1090,120,477,316,0,,
0182C1100,0,469,0,0,,
0182C1110,78,541,418,0,,
0182C1120,841,0,196,0,,
0182C1130,2,0,254,0,,
0182C1140,870,0,0,0,,
0182C1150,940,84,78,0,,
0182C1160,0,71,324,0,,
0182C1170,16,633,277,0,,
0182C1180,24,450,295,0,,
0182C1190,90,810,0,0,,
0182C1200,0,676,0,0,,
0182C1210,15,446,385,0,,
0182C1220,55,116,426,0,,
0182C1230,176,1172,0,0,,
0182C1240,55,339,428,0,,
0182C1250,207,1181,1,0,,
0182C1260,39,796,0,0,,
0182C1270,64,41,500,0,,
0182C1280,699,600,43,0,,
0182C1290,247,893,240,0,,
0182C1300,107,847,7,0,,
0182C1310,267,181,528,0,,
0182C1320,174,629,231,0,,
0182C1330,397,784,81,0,,
0182C1340,9,32,506,0,,
0182C1350,81,1162,0,0,,
0182C1360,4,3,258,0,,
0182C1370,80,1366,0,0,,
0182C1380,0,770,22,0,,
0182C1390,579,542,311,0,,
0182C1400,426,203,312,0,,
0182C1410,126,1412,68,0,,
0182C1420,8,38,743,0,,
0182C1430,16,14,265,0,,
0182C1440,379,1114,0,0,,
0182C1450,42,95,620,0,,
0182C1460,91,36,742,0,,
0182C1470,26,70,523,0,,
0182C1480,0,505,346,0,,
0182C1490,53,1264,0,0,,
0182C1500,4,267,545,0,,
0182C1510,129,145,559,0,,
0182C1520,205,222,450,0,,
0182C1530,7,60,429,0,,
0183C1010,428,1185,0,0,,
0183C1020,566,427,4,0,,
0183C1030,598,999,0,0,,
0183C1040,618,401,0,0,,
0183C1050,534,1040,0,0,,
0183C1060,544,450,0,0,,
0183C1070,474,577,2,0,,
0183C1080,380,902,3,0,,
0183C1090,292,503,0,0,,
0183C1100,691,207,0,0,,
0183C1110,385,284,204,0,,
0183C1120,644,391,14,0,,
0183C1130,279,520,65,0,,
0183C1140,9,192,291,0,,
0183C1150,678,323,18,0,,
0183C1160,790,270,46,0,,
0183C1170,835,0,0,0,,
0183C1180,499,575,0,0,,
0183C1190,444,669,0,0,,
0183C1200,567,344,0,0,,
0183C1210,764,93,0,0,,
0183C1220,200,568,0,0,,
0183C1230,0,821,0,0,,
0183C1240,414,841,284,0,,
0183C1250,681,112,0,0,,
0183C1260,1,748,449,0,,
0184C1010,61,727,4,0,,
0184C1020,185,785,1,0,,
0184C1030,1083,571,0,0,,
0184C1040,385,649,0,0,,
0184C1050,192,1392,484,0,,
0184C1060,262,749,0,0,,
0184C1070,174,649,0,0,,
0184C1080,671,518,21,0,,
0184C1090,626,654,8,0,,
0184C1100,478,481,0,0,,
0184C1110,271,780,0,0,,
0184C1120,252,718,0,0,,
0184C1130,2,889,0,0,,
0184C1140,247,581,0,0,,
0184C1150,406,367,0,0,,
0184C1160,538,456,0,0,,
0184C1170,358,625,0,0,,
0184C1180,550,539,17,0,,
0184C1190,652,491,0,0,,
0184C1200,886,0,0,0,,
0184C1210,450,603,13,0,,
0184C1220,721,689,2,0,,
0184C1230,284,1217,114,0,,
0184C1240,712,261,77,0,,
0184C1250,297,631,2,0,,
0184C1260,126,1014,0,0,,
0184C1270,747,839,0,0,,
0184C1280,463,816,30,0,,
0184C1290,198,819,50,0,,
0184C1300,0,924,0,0,,
0184C1310,178,1372,0,0,,
0184C1320,3,386,76,0,,
0184C1330,70,852,0,0,,
0184C1340,1,590,8,0,,
0184C1350,943,0,0,0,,
0184C1360,324,670,34,0,,
0184C1370,507,283,0,0,,
0184C1380,416,496,7,0,,
0184C1390,0,1120,0,0,,
0184C1400,1390,0,0,0,,
0184C1410,165,983,59,0,,
0184C1420,0,742,0,0,,
0184C1430,2,131,88,0,,
0186C1010,389,724,282,0,,
0186C1020,121,189,501,0,,
0186C1030,739,192,0,0,,
0186C1040,15,610,51,0,,
0186C1050,808,463,0,0,,
0186C1060,87,8,393,0,,
0186C1070,52,210,471,0,,
0186C1080,473,334,0,0,,
0186C1090,456,222,483,0,,
0186C1100,677,409,3,0,,
0186C1110,0,786,0,0,,
0186C1120,772,0,44,0,,
0186C1130,269,168,516,0,,
0186C1140,84,353,295,0,,
0186C1150,243,684,241,0,,
0186C1160,8,375,299,0,,
0186C1170,81,344,383,0,,
0186C1180,257,689,82,0,,
0186C1190,198,125,376,0,,
0186C1200,14,24,562,0,,
0186C1210,202,563,29,0,,
0186C1220,189,607,203,0,,
0186C1230,382,5,456,0,,
0186C1240,194,304,378,0,,
0186C1250,117,196,511,0,,
0186C1260,8,12,629,0,,
0187A0010,319,336,372,0,,
0187C1010,136,381,366,0,,
0187C1020,257,594,146,0,,
0187C1030,31,454,458,0,,
0187C1040,2,72,249,0,,
0187C1050,11,157,363,0,,
0187C1060,8,0,509,0,,
0188A0010,75,19,636,2,,
0188A0020,26,21,675,0,,
0188A0030,26,2,810,0,,
0188A0040,65,0,943,1,,
0188A0050,32,0,549,0,,
0188A0060,65,0,1045,0,,
0188A0070,11,0,687,0,,
0188A0080,116,0,463,0,,
0188A0090,6,0,551,0,,
0188A0100,136,25,418,0,,
0188A0110,21,0,424,0,,
0188A0120,35,0,545,0,,
0188A0130,64,8,562,1,,
0188A0140,14,20,662,0,,
0188A0150,44,60,485,0,,
0188A0160,53,0,733,0,,
0188A0170,60,0,522,0,,
0188A0180,62,20,972,0,,
0188A0190,115,31,592,0,,
0188B2010,548,77,331,0,,
0188B2020,452,159,223,0,,
0188B2030,448,147,369,0,,
0188B3010,113,42,481,0,,
0188B3020,398,116,241,0,,
0188B3030,693,254,269,0,,
0188B4010,275,197,364,0,,
0188B5010,82,0,587,0,,
0188C1010,475,362,298,0,,
0188C1020,633,561,61,0,,
0188C1030,124,199,452,0,,
0188C1040,503,802,48,0,,
0188C1050,58,1273,23,0,,
0188C1060,1091,1462,133,0,,
0188C1070,121,408,142,0,,
0188C1080,208,991,120,0,,
0188C1090,420,492,29,0,,
0188C1100,153,419,472,0,,
0188C1110,79,318,537,0,,
0191A0010,89,7,328,0,,
0191A0020,46,71,530,0,,
0191A0030,35,0,495,0,,
0191A0040,22,0,415,0,,
0191B2010,551,342,279,0,,
0191B2020,6,18,380,0,,
0191B2030,375,255,544,0,,
0191B2040,321,224,396,0,,
0191B2050,374,54,209,0,,
0191B3010,140,301,366,0,,
0191C1010,13,214,556,0,,
0191C1020,800,0,112,0,,
0191C1030,723,102,0,0,,
0191C1040,98,760,0,0,,
0191C1050,942,82,0,0,,
0191C1060,762,348,149,0,,
0191C1070,464,476,0,0,,
0191C1080,363,252,598,0,,
0191C1090,828,320,38,0,,
0191C1100,255,715,0,0,,
0191C1110,280,612,7,0,,
0191C1120,287,308,316,0,,
0191C1130,886,62,35,0,,
0191C1140,81,176,475,0,,
0192A0010,111,0,674,0,,
0192A0020,231,43,765,0,,
0192A0030,34,3,544,0,,
0192A0040,13,0,876,0,,
0192B2010,552,118,356,0,,
0192B2020,262,18,432,0,,
0192B3010,124,17,399,1,,
0192C1010,2,150,279,0,,
0192C1020,237,108,284,0,,
0192C1030,331,214,241,0,,
0192C1040,567,325,220,0,,
0192C1050,437,250,0,0,,
0192C1060,690,434,140,0,,
0192C1070,660,239,2,0,,
0192C1080,58,511,109,0,,
0192C1090,713,495,56,0,,
0192C1100,12,46,362,0,,
0305A0010,41,0,1015,4,,
0305B2010,169,112,581,0,,
0305C1010,37,144,873,0,,
0305C1020,312,16,326,0,,
0305C1030,397,220,708,0,,
0305C1040,670,155,129,0,,
0305C1050,21,128,645,0,,
0305C1060,562,410,502,0,,
0305C1070,2,120,523,0,,
0305C1080,128,133,395,0,,
0319A0010,125,20,622,1,,
0319B2010,247,48,505,1,,
0319C1010,140,6,687,0,,
0319C1020,825,66,424,0,,
0319C1030,286,135,581,0,,
0330A0010,54,0,615,2,,
0330A0020,31,0,839,8,,
0330A0030,7,0,457,2,,
0330C1010,411,200,248,9,,
0330C1020,232,501,404,9,,
0330C1030,746,922,190,0,,
0330C1040,26,164,483,0,,
0330C1050,1,220,241,0,,
0330C1060,121,40,343,0,,
0330C1070,135,283,350,0,,
0331A0010,57,30,396,0,,
0331A0020,83,14,743,0,,
0331A0030,164,10,567,0,,
0331A0040,5,39,371,0,,
0331A0050,5,0,418,0,,
0331B2010,380,63,541,0,,
0331B3010,285,149,358,0,,
0331B4010,300,20,396,0,,
0331C1010,323,98,427,0,,
0331C1020,209,157,323,0,,
0360A0010,41,0,392,0,,
0360A0020,88,14,456,0,,
0360A0030,166,39,411,0,,
0360A0040,102,17,712,0,,
0360A0050,198,55,603,2,,
0360A0060,43,0,447,1,,
0360A0070,52,0,468,1,,
0360B2010,455,185,566,0,,
0360B3010,469,48,362,0,,
0360B4010,336,0,391,0,,
0360C1010,1012,391,255,0,,
0360C1020,386,216,431,0,,
0360C1030,165,162,301,0,,
0380A0010,56,0,559,0,,
0380A0020,80,26,920,1,,
0380A0030,91,3,585,0,,
0380A0040,42,0,733,3,,
0380A0050,149,15,683,0,,
0380A0060,49,0,668,1,,
0380A0070,59,45,523,0,,
0380A0080,171,99,342,4,,
0380A0090,31,18,464,0,,
0380A0100,51,73,348,1,,
0380A0110,5,0,380,0,,
0380A0120,27,0,871,0,,
0380A0130,22,0,666,2,,
0380A0140,41,0,579,0,,
0380A0150,34,39,909,4,,
0380A0160,97,32,850,0,,
0380B2010,108,149,356,0,,
0380B2020,17,0,339,0,,
0380B2030,42,0,559,0,,
0380B2040,133,64,434,0,,
0380B3010,2,0,473,0,,
0380B3020,77,42,319,0,,
0380B3030,17,0,482,0,,
0380B4010,42,66,528,0,,
0380B4020,169,42,483,0,,
0380B5010,213,108,785,0,,
0380B6010,49,55,355,0,,
0380B7010,113,6,463,0,,
0380B8010,132,71,345,0,,
0380C1010,6,0,353,0,,
0380C1020,40,29,455,0,,
0380C1030,60,0,486,0,,
0380C1040,30,88,455,0,,
0380C1050,37,183,469,0,,
0380C1060,238,17,324,0,,
0380C1070,570,81,0,0,,
0380C1080,114,429,0,0,,
0380C1090,0,376,51,0,,
0380C1100,619,0,0,0,,
0380C1110,384,534,0,0,,
0380C1120,7,0,302,0,,
0380C1130,601,0,0,0,,
0380C1140,434,315,0,0,,
0380C1150,739,0,19,0,,
0380C1160,668,0,0,0,,
0380C1170,167,153,144,0,,
0380C1180,416,177,47,0,,
0380C1190,147,358,114,0,,
0380C1200,5,20,386,0,,
0380C1210,1183,505,186,0,,
0380C1220,21,0,466,4,,
0380C1230,52,16,447,0,,
0380C1240,5,160,380,0,,
0380C1250,86,299,262,0,,
0380C1260,437,1083,168,0,,
0380C1270,20,18,295,0,,
0380C1280,7,0,375,0,,
0380C1290,329,521,15,0,,
0380C1300,282,398,0,0,,
0380C1310,853,0,0,0,,
0380C1320,697,0,124,0,,
0380C1330,280,1254,0,0,,
0380C1340,408,389,32,0,,
0380C1350,1796,668,167,0,,
0380C1360,154,789,39,0,,
0380C1370,161,267,88,0,,
0380C1380,382,300,0,0,,
0380C1390,86,259,288,0,,
0380C1400,415,219,334,0,,
0380C1410,524,108,71,0,,
0380C1420,750,0,0,0,,
0380C1430,915,0,14,0,,
0380C1440,30,4,287,0,,
0380C1450,403,432,2,0,,
0380C1460,1352,0,0,0,,
0380C1470,306,330,218,0,,
0380C1480,1331,1807,0,0,,
0380C1490,779,196,206,0,,
0380C1500,163,226,92,0,,
0380C1510,58,385,150,0,,
0380C1520,1552,115,10,0,,
0380C1530,351,617,0,0,,
0380C1540,926,63,7,0,,
0380C1550,1427,0,0,0,,
0380C1560,317,542,61,0,,
0380C1570,15,76,213,0,,
0380C1580,124,634,0,0,,
0380C1590,824,252,16,0,,
0380C1600,291,727,0,0,,
0380C1610,572,246,0,4,,
0380C1620,15,489,115,0,,
0380C1630,642,414,9,0,,
0380C1640,2,913,0,0,,
0380C1650,25,826,0,0,,
0380C1660,80,875,0,0,,
0380C1670,261,593,12,0,,
0380C1680,108,557,63,0,,
0380C1690,218,330,1,0,,
0380C1700,85,378,242,0,,
0380C1710,72,856,1,0,,
0380C1720,217,768,16,0,,
0380C1730,566,431,0,0,,
0380C1740,0,955,0,0,,
0380C1750,164,688,0,0,,
0380C1760,85,1180,0,0,,
0380C1770,124,382,0,0,,
0380C1780,215,593,2,0,,
0380C1790,168,490,195,0,,
0380C1800,308,1072,0,0,,
0380C1810,7,753,89,0,,
0380C1820,101,853,0,0,,
0380C1830,376,800,0,0,,
0380C1840,15,587,267,0,,
0380C1850,463,0,0,0,,
0380C1860,0,858,0,0,,
0380C1870,559,149,52,0,,
0380C1880,779,0,0,0,,
0380C1890,467,307,36,0,,
0380C1900,1079,112,0,0,,
0380C1910,86,142,146,0,,
0380C1920,207,586,0,0,,
0380C1930,347,261,0,0,,
0380C1940,1408,339,0,0,,
0380C1950,655,31,0,0,,
0380C1960,0,699,0,0,,
0380C1970,487,352,0,0,,
0380C1980,172,691,0,0,,
0380C1990,95,515,0,0,,
0380C2000,186,284,363,0,,
0380C2010,1742,62,0,0,,
0380C2020,353,877,0,0,,
0380C2030,0,836,0,0,,
0380C2040,709,343,0,0,,
0380C2050,100,658,0,0,,
0380C2060,91,189,290,0,,
0380C2070,519,164,0,0,,
0380C2080,44,558,0,0,,
0380C2090,220,667,76,0,,
0380C2100,984,80,0,0,,
0380C2110,10,832,37,0,,
0380C2120,0,396,0,0,,
0380C2130,0,548,0,0,,
0380C2140,598,472,54,0,,
0380C2150,633,156,0,0,,
0380C2160,336,238,0,0,,
0380C2170,1,0,330,0,,
0380C2180,6,470,193,0,,
0380C2190,392,0,268,0,,
0380C2200,454,880,0,0,,
0380C2210,75,0,429,0,,
0381A0010,74,72,843,2,,
0381A0020,31,5,420,4,,
0381A0030,11,0,341,11,,
0381A0040,15,0,361,8,,
0381A0050,47,1,723,9,,
0381A0060,37,0,522,10,,
0381A0070,31,0,915,14,,
0381A0080,35,0,679,3,,
0381A0090,164,26,659,3,,
0381B2010,219,36,548,4,,
0381B3010,98,328,444,0,,
0381B4010,102,55,356,0,,
0381B5010,126,0,275,0,,
0381C1010,144,282,419,0,,
0381C1020,238,223,609,0,,
0381C1030,592,917,37,0,,
0381C1040,338,354,399,0,,
0381C1050,628,124,459,0,,
0381C1060,532,562,74,0,,
0381C1070,731,148,256,0,,
0381C1080,809,386,350,0,,
0381C1090,793,451,73,0,,
0381C1100,744,134,151,0,,
0381C1110,502,420,39,0,,
0381C1120,704,308,120,0,,
0382A0010,9,0,735,0,,
0382A0020,151,0,540,0,,
0382A0030,7,0,452,0,,
0382A0040,89,0,620,2,,
0382A0050,66,0,703,2,,
0382B2010,81,0,368,0,,
0382B2020,516,277,239,0,,
0382B3010,57,284,352,0,,
0382B3020,225,60,224,0,,
0382B4010,208,166,312,0,,
0382B4020,419,70,274,0,,
0382B5010,295,207,426,6,,
0382C1010,456,184,445,0,,
0382C1020,5,0,559,0,,
0382C1030,320,493,209,0,,
0428A0010,205,0,442,0,,
0428A0020,44,0,501,0,,
0428A0030,60,0,784,0,,
0428C1010,10,0,382,0,,
0428C1020,718,103,140,0,,
0428C1030,646,65,447,0,,
0461A0010,13,0,422,0,,
0461A0020,144,0,491,0,,
0461A0030,103,0,322,0,,
0461A0040,31,10,666,0,,
0461C1010,816,219,109,0,,
0461C1020,376,129,363,0,,
0461C1030,5,12,318,0,,
0461C1040,228,149,328,0,,
0480A0010,41,0,340,0,,
0480A0020,111,26,407,0,,
0480A0030,31,0,505,0,,
0480A0040,102,28,449,0,,
0480A0050,36,0,480,0,,
0480A0060,25,0,445,0,,
0480A0070,263,77,802,28,,
0480A0080,66,115,701,0,,
0480A0090,101,0,561,1,,
0480B2010,26,43,343,0,,
0480B2020,45,16,434,0,,
0480B3010,88,15,651,0,,
0480B4010,150,43,311,0,,
0480C1010,665,439,268,0,,
0480C1020,102,75,360,0,,
0480C1030,204,491,82,0,,
0480C1040,480,638,212,0,,
0480C1050,564,490,69,0,,
0480C1060,1135,577,158,0,,
0480C1070,508,423,259,0,,
0480C1080,414,422,13,0,,
0480C1090,122,49,694,1,,
0480C1100,383,700,83,0,,
0480C1110,862,508,87,0,,
0480C1120,404,580,155,0,,
0480C1130,654,441,73,0,,
0480C1140,735,254,263,0,,
0480C1150,535,295,130,0,,
0480C1160,1241,30,0,0,,
0480C1170,260,324,0,0,,
0480C1180,293,696,185,0,,
0480C1190,319,96,634,0,,
0481C1010,216,129,578,0,,
0481C1020,737,371,132,0,,
0481C1030,265,0,631,0,,
0481C1040,422,823,0,0,,
0481C1050,334,502,8,0,,
0481C1060,76,137,425,0,,
0481C1070,42,50,512,0,,
0482A0010,165,15,583,0,,
0482A0020,201,65,646,0,,
0482A0030,64,0,682,0,,
0482B2010,727,8,419,0,,
0482B3010,292,131,452,0,,
0482C1010,198,29,287,0,,
0482C1020,971,83,121,0,,
0482C1030,394,78,249,0,,
0482C1040,473,192,324,0,,
0482C1050,60,0,312,0,,
0483A0010,109,14,575,0,,
0483A0020,175,45,489,0,,
0483A0030,52,0,337,0,,
0483A0040,128,31,703,0,,
0483A0050,74,25,600,0,,
0483A0060,146,9,504,1,,
0483B2010,189,37,463,0,,
0483C1010,65,78,305,0,,
0483C1020,481,191,186,0,,
0483C1030,584,36,296,0,,
0483C1040,431,174,339,0,,
0483C1050,392,217,156,0,,
0483C1060,103,29,763,0,,
0483C1070,35,28,318,0,,
0483C1080,1276,391,30,0,,
0483C1090,492,0,263,0,,
0483C1100,884,169,33,0,,
0483C1110,1265,121,3,0,,
0483C1120,584,340,30,0,,
0483C1130,837,167,54,0,,
0483C1140,375,106,297,0,,
0484A0010,29,0,651,0,,
0484A0020,12,0,388,0,,
0484A0030,86,0,638,0,,
0484A0040,79,4,462,0,,
0484A0050,40,0,808,0,,
0484A0060,131,0,835,0,,
0484A0070,17,0,560,0,,
0484B2010,7,0,521,0,,
0484B3010,124,0,400,0,,
0484B4010,11,0,401,0,,
0484B5010,132,69,223,0,,
0484C1010,18,29,446,0,,
0484C1020,47,78,507,0,,
0484C1030,25,23,887,0,,
0484C1040,38,205,495,0,,
0484C1050,890,5,17,0,,
0484C1060,308,430,201,0,,
0484C1070,1002,40,62,0,,
0484C1080,597,0,0,0,,
0484C1090,939,5,88,0,,
0484C1100,524,0,0,0,,
0484C1110,913,88,57,0,,
0484C1120,641,96,105,0,,
0484C1130,858,152,106,0,,
0484C1140,213,135,174,0,,
0484C1150,593,230,40,0,,
0484C1160,255,131,479,0,,
0484C1170,528,430,37,0,,
0484C1180,491,554,10,0,,
0484C1190,774,79,27,0,,
0484C1200,746,67,59,0,,
0484C1210,694,465,195,0,,
0484C1220,1014,188,0,0,,
0484C1230,464,193,5,0,,
0484C1240,658,239,100,0,,
0484C1250,48,476,174,0,,
0484C1260,798,330,50,0,,
0484C1270,1015,338,3,0,,
0484C1280,227,10,490,0,,
0484C1290,625,335,0,0,,
0484C1300,138,430,361,0,,
0484C1310,634,582,2,0,,
0484C1320,785,513,0,0,,
0484C1330,958,17,96,0,,
0484C1340,1132,1247,19,0,,
0484C1350,517,118,380,0,,
0484C1360,555,254,0,0,,
0484C1370,528,56,7,0,,
0484C1380,173,72,541,0,,
0484C1390,729,0,84,0,,
0484C1400,106,227,377,0,,
0484C1410,407,92,175,0,,
0484C1420,184,87,415,0,,
0484C1430,524,0,218,0,,
0484C1440,1,35,658,0,,
0484C1450,274,446,123,0,,
0484C1460,262,329,301,0,,
0484C1470,351,0,456,0,,
0484C1480,817,0,109,0,,
0484C1490,243,19,788,0,,
0484C1500,541,197,647,0,,
0486A0010,28,319,471,0,,
0486A0020,60,0,256,0,,
0486A0030,38,7,397,0,,
0486A0040,11,0,553,1,,
0486A0050,17,5,348,0,,
0486A0060,27,0,296,0,,
0486A0070,61,0,583,0,,
0486A0080,76,0,555,0,,
0486B2010,319,152,227,0,,
0486B2020,434,58,231,0,,
0486B2030,125,20,503,0,,
0486B3010,430,21,298,0,,
0486B3020,88,163,380,0,,
0486B4010,64,74,403,0,,
0486B4020,161,0,347,0,,
0486C1010,216,185,176,0,,
0486C1020,201,16,477,0,,
0486C1030,406,219,405,0,,
0486C1040,632,72,197,0,,
0486C1050,365,330,275,0,,
0486C1060,740,415,0,0,,
0486C1070,577,300,162,0,,
0486C1080,428,588,228,0,,
0486C1090,825,291,414,0,,
0488A0010,76,24,533,0,,
0488A0020,27,0,362,0,,
0488B2010,382,100,307,0,,
0488B2020,133,103,283,0,,
0488B2030,85,48,349,0,,
0488C1010,419,222,518,0,,
0488C1020,256,259,444,0,,
0488C1030,506,189,542,0,,
0509A0010,15,0,542,0,,
0509A0020,71,0,553,0,,
0509C1010,216,0,362,0,,
0509C1020,398,29,408,0,,
0512A0010,85,7,531,0,,
0512A0020,101,0,590,0,,
0512C1010,311,0,221,0,,
0513A0010,39,1,465,0,,
0513A0020,225,0,576,0,,
0513A0030,29,0,491,8,,
0513B2010,49,0,382,0,,
0513B2020,270,46,297,0,,
0513C1010,337,0,351,0,,
0513C1020,431,0,100,0,,
0513C1030,285,38,454,0,,
0560A0010,67,0,915,0,,
0560C1010,429,162,439,0,,
0560C1020,273,129,346,0,,
0561A0010,58,0,493,0,,
