deso,hyresrätt,bostadsrätt,äganderätt,uppgift saknas,,"Antal lägenheter efter år, region och upplåtelseform"
0126C1490,2,265,41,0,,
0126C1500,1,166,465,0,,
0126C1510,797,9,28,0,,
0126C1520,486,0,0,0,,
0126C1530,88,76,623,0,,
0126C1540,415,0,0,0,,
0126C1550,695,397,0,0,,
0126C1560,5,108,482,0,,
0126C1570,5,490,140,0,,
0126C1580,67,22,542,0,,
0126C1590,72,231,431,0,,
0127A0010,110,1,748,0,,
0127A0020,64,367,221,0,,
0127C1010,17,0,308,0,,
0127C1020,292,265,231,0,,
0127C1030,3,273,594,0,,
0127C1040,21,68,469,0,,
0127C1050,456,398,323,0,,
0127C1060,14,0,570,0,,
0127C1070,6,56,489,0,,
0127C1080,768,30,224,0,,
0127C1090,785,0,87,0,,
0127C1100,744,196,192,0,,
0127C1110,696,0,85,0,,
0127C1120,61,4,465,0,,
0127C1130,82,42,405,0,,
0127C1140,1,645,196,0,,
0127C1150,130,669,350,0,,
0127C1160,945,62,0,0,,
0127C1170,170,49,473,0,,
0127C1180,1313,493,73,0,,
0127C1190,85,632,69,0,,
0127C1200,95,31,607,0,,
0127C1210,155,729,96,0,,
0127C1220,319,374,7,0,,
0127C1230,0,0,373,0,,
0127C1240,12,22,352,0,,
0127C1250,209,18,467,0,,
0127C1260,5,181,394,0,,
0127C1270,547,0,264,0,,
0127C1280,68,0,476,0,,
0127C1290,773,0,0,0,,
0127C1300,237,305,0,0,,
0127C1310,472,0,0,0,,
0127C1320,617,335,20,0,,
0127C1330,3,63,343,0,,
0127C1340,548,79,85,0,,
0127C1350,855,563,0,0,,
0127C1360,384,384,0,0,,
0127C1370,0,896,0,0,,
0127C1380,411,0,0,0,,
0127C1390,596,0,0,0,,
0127C1400,0,768,0,0,,
0127C1410,766,0,0,0,,
0127C1420,791,0,0,0,,
0127C1430,63,592,2,0,,
0127C1440,877,0,0,0,,
0127C1450,2,0,383,0,,
0127C1460,35,0,458,0,,
0127C1470,638,0,1,0,,
0127C1480,1,0,441,0,,
0128A0010,85,48,615,0,,
0128C1010,123,145,764,0,,
0128C1020,103,488,296,0,,
0128C1030,492,0,312,0,,
0128C1040,230,94,423,0,,
0128C1050,238,622,126,0,,
0128C1060,93,196,421,0,,
0128C1070,205,649,171,0,,
0136A0010,45,0,327,0,,
0136A0020,163,28,781,1,,
0136A0030,51,0,432,0,,
0136B2010,150,65,653,0,,
0136C1010,183,151,248,0,,
0136C1020,235,147,262,0,,
0136C1030,4,693,233,0,,
0136C1040,75,146,677,0,,
0136C1050,210,699,75,0,,
0136C1060,24,44,557,0,,
0136C1070,126,1030,0,0,,
0136C1080,346,5,591,0,,
0136C1090,725,0,120,0,,
0136C1100,894,34,0,0,,
0136C1110,591,358,63,0,,
0136C1120,850,0,0,0,,
0136C1130,424,258,0,0,,
0136C1140,1,0,407,0,,
0136C1150,2,0,477,0,,
0136C1160,419,572,177,0,,
0136C1170,845,410,8,0,,
0136C1180,1,491,305,0,,
0136C1190,1,556,0,0,,
0136C1200,0,856,0,0,,
0136C1210,224,454,0,0,,
0136C1220,502,278,0,0,,
0136C1230,431,332,200,0,,
0136C1240,8,863,0,0,,
0136C1250,894,441,0,0,,
0136C1260,639,90,0,0,,
0136C1270,655,0,0,0,,
0136C1280,453,0,0,0,,
0136C1290,297,508,39,0,,
0136C1300,0,0,596,0,,
0136C1310,933,611,446,0,,
0136C1320,231,614,125,0,,
0136C1330,78,553,191,0,,
0136C1340,474,928,391,0,,
0136C1350,38,0,460,0,,
0136C1360,3,389,455,0,,
0136C1370,6,195,503,0,,
0136C1380,139,318,380,0,,
0136C1390,4,574,346,0,,
0136C1400,36,0,686,0,,
0136C1410,11,62,260,0,,
0136C1420,7,0,483,0,,
0136C1430,9,63,567,0,,
0136C1440,54,205,387,0,,
