deso,Median income tkr,Antal personer totalt,,,,,
0180C3530,427.4,1158,,,,,
0180C3540,337.4,1254,,,,,
0180C3550,446,1405,,,,,
0180C3560,449.8,1083,,,,,
0180C3570,440.8,1245,,,,,
0180C3580,363.7,1577,,,,,
0180C3590,402.4,1193,,,,,
0180C3600,427.4,1228,,,,,
0180C3610,597.5,1029,,,,,
0180C3620,435.8,1582,,,,,
0180C3630,383.4,1233,,,,,
0180C3640,433.2,1250,,,,,
0180C3650,430.5,1494,,,,,
0180C3660,408.7,932,,,,,
0180C3670,349.3,1177,,,,,
0180C3680,484.7,1149,,,,,
0180C3690,413.9,1376,,,,,
0180C3700,473.6,1159,,,,,
0180C3710,431.8,1040,,,,,
0180C3720,586,866,,,,,
0180C3730,435.7,1099,,,,,
0180C3740,425.6,1216,,,,,
0180C3750,434.7,1386,,,,,
0180C3760,600.7,949,,,,,
0180C3770,383.6,1091,,,,,
0180C3780,431.6,852,,,,,
0180C3790,406.8,1252,,,,,
0180C3800,400.4,1116,,,,,
0180C3810,437.2,1195,,,,,
0180C3820,445,1299,,,,,
0180C3830,532.9,1386,,,,,
0180C3840,580.1,1145,,,,,
0180C3850,558.2,1167,,,,,
0180C3860,437.8,1300,,,,,
0180C3870,459.9,1286,,,,,
0180C3880,415.5,1316,,,,,
0180C3890,412.7,1351,,,,,
0180C3900,422.4,1237,,,,,
0180C3910,569.5,1383,,,,,
0180C3920,364.3,647,,,,,
0180C3930,516.6,1110,,,,,
0180C3940,380.7,1280,,,,,
0180C3950,400.1,1126,,,,,
0180C3960,443.2,1074,,,,,
0180C3970,450,1264,,,,,
0180C3980,483.5,1312,,,,,
0180C3990,443.4,1245,,,,,
0180C4000,421.9,1205,,,,,
0180C4010,417.2,1257,,,,,
0180C4020,438.3,1311,,,,,
0180C4030,460.3,1196,,,,,
0180C4040,455.1,1744,,,,,
0180C4050,397.5,1375,,,,,
0180C4060,389,1825,,,,,
0180C4070,392.1,1232,,,,,
0180C4080,412.9,1287,,,,,
0180C4090,435.3,1228,,,,,
0180C4100,517.3,1108,,,,,
0180C4110,564.4,1242,,,,,
0180C4120,484.7,1206,,,,,
0180C4130,520.8,1214,,,,,
0180C4140,504.2,1560,,,,,
0180C4150,483.1,1298,,,,,
0180C4160,456.9,1167,,,,,
0180C4170,443.9,1363,,,,,
0180C4180,418.7,1607,,,,,
0180C4190,383.8,1255,,,,,
0180C4200,572.6,1113,,,,,
0180C4210,470.5,1327,,,,,
0180C4220,468,1485,,,,,
0180C4230,485.1,1297,,,,,
0180C4240,432.1,1481,,,,,
0180C4250,416.3,1352,,,,,
0180C4260,371.6,1478,,,,,
0180C4270,428.9,829,,,,,
0180C4280,445.8,1719,,,,,
0180C4290,539.7,1502,,,,,
0180C4300,386.3,1466,,,,,
0180C4310,479.2,1425,,,,,
0180C4320,557.3,1310,,,,,
0180C4330,444.6,1297,,,,,
0180C4340,439.2,1221,,,,,
0180C4350,389.8,1206,,,,,
0180C4360,457.3,1560,,,,,
0180C4370,500.5,1257,,,,,
0180C4380,471.3,1447,,,,,
0180C4390,424.2,877,,,,,
0180C4400,472.2,1210,,,,,
0180C4410,447.6,1443,,,,,
0180C4420,406.9,1170,,,,,
0180C4430,433.3,1091,,,,,
0180C4440,421.3,1265,,,,,
0180C4450,468.1,1442,,,,,
0180C4460,353.8,1909,,,,,
0180C4470,327.8,1522,,,,,
0180C4480,406.3,1119,,,,,
0180C4490,467.4,1539,,,,,
0180C4500,435.4,1144,,,,,
0180C4510,647,1117,,,,,
0180C4520,543.4,1548,,,,,
0180C4530,394.3,2242,,,,,
0180C4540,469.5,1095,,,,,
0180C4550,532.5,919,,,,,
0180C4560,435.6,1414,,,,,
0180C4570,472.3,931,,,,,
0180C4580,592.7,1567,,,,,
0180C4590,414.9,1263,,,,,
0180C4600,472.1,1503,,,,,
0180C4610,444.3,1513,,,,,
0180C4620,431.9,1290,,,,,
0180C4630,410.1,1461,,,,,
0180C4640,436.5,1470,,,,,
0180C4650,500.3,1184,,,,,
0180C4660,486.1,1245,,,,,
0180C4670,403.2,1287,,,,,
0180C4680,428.8,964,,,,,
0180C4690,420.6,1062,,,,,
0180C4700,451.9,2094,,,,,
0180C4710,432.2,1749,,,,,
0180C4720,472,1273,,,,,
0180C4730,550,1413,,,,,
0180C4740,515.9,1267,,,,,
0180C4750,405,1082,,,,,
0180C4760,563.2,970,,,,,
0180C4770,456.4,1478,,,,,
0180C4780,483.8,1332,,,,,
0180C4790,380.2,1333,,,,,
0180C4800,503,1243,,,,,
0180C4810,479.9,1050,,,,,
0180C4820,492.7,1374,,,,,
0180C4830,491.1,1350,,,,,
0180C4840,447.8,1386,,,,,
0180C4850,558.9,1265,,,,,
0180C4860,511.8,1598,,,,,
0180C4870,490.3,1324,,,,,
0180C4880,503.7,1186,,,,,
0180C4890,489.3,1020,,,,,
0180C4900,481.6,1286,,,,,
0180C4910,422.3,1373,,,,,
0180C4920,516,1353,,,,,
0180C4930,427.4,1658,,,,,
0180C4940,351.9,1729,,,,,
0180C4950,328.1,1243,,,,,
0180C4960,481.2,1269,,,,,
0180C4970,443.7,1524,,,,,
0180C4980,403.8,910,,,,,
0180C4990,469.9,1337,,,,,
0180C5000,457.1,1357,,,,,
0180C5010,530.4,1423,,,,,
0180C5020,519.3,1611,,,,,
0180C5030,351.1,1506,,,,,
0180C5040,503.5,1620,,,,,
0180C5050,490.2,1723,,,,,
0180C5060,514.8,1730,,,,,
0180C5070,424.7,1047,,,,,
0180C5080,414.9,1487,,,,,
0180C5090,423.6,1549,,,,,
0180C5100,450.3,1489,,,,,
0180C5110,538.5,1375,,,,,
0180C5120,499.1,1385,,,,,
0180C5130,513.7,1044,,,,,
0180C5140,494,1168,,,,,
0180C5150,591.1,1179,,,,,
0180C5160,361.6,1203,,,,,
0180C5170,382.5,999,,,,,
0180C5180,315.4,1072,,,,,
0180C5190,359.4,1016,,,,,
0180C5200,473.6,1166,,,,,
0180C5210,508.3,1988,,,,,
0180C5220,444.9,1679,,,,,
0180C5230,453.8,1611,,,,,
0180C5240,298.9,991,,,,,
0180C5250,421.7,1637,,,,,
0180C5260,488.2,3571,,,,,
0180C5270,493.5,1508,,,,,
0180C5280,498.3,1140,,,,,
0180C5290,417.8,1298,,,,,
0180C5300,471.5,1636,,,,,
0180C5310,460.3,1640,,,,,
0180C5320,377.4,1269,,,,,
0180C5330,295.2,1538,,,,,
0180C5340,389.5,916,,,,,
0180C5350,414.2,1440,,,,,
0180C5360,502.7,1327,,,,,
0180C5370,492.8,1441,,,,,
0180C5380,284.9,1395,,,,,
0180C5390,448.4,1315,,,,,
0180C5400,558.5,1038,,,,,
0180C5410,244.6,1301,,,,,
0180C5420,402,2456,,,,,
0180C5430,223.5,1846,,,,,
0180C5440,422.1,1266,,,,,
0180C5450,334.8,1653,,,,,
0180C5460,585.1,772,,,,,
0180C5470,262.7,1488,,,,,
0180C5480,333.4,689,,,,,
0180C5490,242.2,2326,,,,,
0180C5500,408.3,1210,,,,,
0180C5510,345.8,1249,,,,,
0180C5520,444.4,817,,,,,
0180C5530,478.1,2036,,,,,
0180C5540,429.2,1752,,,,,
0180C5550,460.7,944,,,,,
0180C5560,489.8,595,,,,,
0180C5570,365.3,1250,,,,,
0180C5580,278.8,1630,,,,,
0180C5590,291.6,1335,,,,,
0180C5600,309.2,1432,,,,,
0180C5610,266.8,1228,,,,,
0180C5620,419.7,1426,,,,,
0180C5630,339.2,1241,,,,,
0180C5640,461.8,803,,,,,
0180C5650,555,2967,,,,,
0180C5660,289.8,1762,,,,,
0180C5670,240,1565,,,,,
0180C5680,307.7,1721,,,,,
0180C5690,461.5,2901,,,,,
0180C5700,302.4,1260,,,,,
0180C5710,240.7,1417,,,,,
0180C5720,318,1225,,,,,
0180C5730,259.4,1578,,,,,
0180C5740,488.9,560,,,,,
0180C5750,460.3,2212,,,,,
0180C5760,251.8,1399,,,,,
0180C5770,249.5,1604,,,,,
0180C5780,269.6,1303,,,,,
0180C5790,294.1,1291,,,,,
0180C5800,451.4,1195,,,,,
0180C5810,337.6,1650,,,,,
0180C5820,449.7,1651,,,,,
0180C5830,455.2,1478,,,,,
0180C5840,443.1,1029,,,,,
0180C5850,469,1538,,,,,
0180C5860,397.4,1835,,,,,
0180C5870,428.1,1046,,,,,
0180C5880,325.4,1141,,,,,
0180C5890,473.2,1224,,,,,
0180C5900,33.7,1810,,,,,
0180C5910,332.4,1773,,,,,
0180C5920,459.7,1287,,,,,
0180C5930,383.7,1248,,,,,
0180C5940,360.5,881,,,,,
0180C5950,360,880,,,,,
0180C5960,455.9,1182,,,,,
0180C5970,495.4,1404,,,,,
0180C5980,250.8,1355,,,,,
0180C5990,420.3,1538,,,,,
0180C6000,320.8,1430,,,,,
0180C6010,341.6,1344,,,,,
0180C6020,431.9,1584,,,,,
0180C6030,522.8,1421,,,,,
0180C6040,373.9,1365,,,,,
0180C6050,422.7,1496,,,,,
0180C6060,381.6,1778,,,,,
0180C6070,189.5,1434,,,,,
0180C6080,329.8,1162,,,,,
0180C6090,199.4,1591,,,,,
0180C6100,190.2,1161,,,,,
0180C6110,221.5,1301,,,,,
0180C6120,170.5,1255,,,,,
0180C6130,344.3,1460,,,,,
0180C6140,238.8,1265,,,,,
0180C6150,194.3,2239,,,,,
0180C6160,203.4,1235,,,,,
0180C6170,190.4,1394,,,,,
0180C6180,213.3,1444,,,,,
0180C6190,407,1488,,,,,
0180C6200,310.1,1206,,,,,
0180C6210,207.8,1635,,,,,
0180C6220,244.4,1390,,,,,
0180C6230,169.9,1619,,,,,
0180C6240,233.5,1633,,,,,
0180C6250,220.5,1181,,,,,
0180C6260,208.2,1439,,,,,
0180C6270,241.2,1434,,,,,
0180C6280,285.6,1561,,,,,
0180C6290,322,1574,,,,,
0180C6300,305.8,1461,,,,,
0180C6310,217.6,1249,,,,,
0180C6320,321.6,1575,,,,,
0180C6330,211.7,1487,,,,,
0180C6340,312.9,1169,,,,,
0180C6350,213.5,1636,,,,,
0180C6360,231.3,1388,,,,,
0180C6370,192.9,1111,,,,,
0180C6380,218.2,1577,,,,,
0180C6390,364.1,1725,,,,,
0180C6400,276.6,1673,,,,,
0180C6410,297.9,1223,,,,,
0180C6420,232.3,1560,,,,,
0180C6430,236.5,1372,,,,,
0180C6440,283.2,1613,,,,,
0181A0010,352.5,1041,,,,,
0181A0020,348.8,1390,,,,,
0181A0030,367.1,1995,,,,,
0181A0040,284.2,1303,,,,,
0181A0050,371.9,866,,,,,
0181A0060,400,1224,,,,,
0181B2010,341.3,1797,,,,,
0181B2020,319.2,1063,,,,,
0181B2030,332.5,2104,,,,,
0181B2040,410.1,1084,,,,,
0181B4010,377.6,1235,,,,,
0181B5010,341.8,890,,,,,
0181C1010,429,1617,,,,,
0181C1020,401.8,1656,,,,,
0181C1030,227.1,1365,,,,,
0181C1040,326.8,1572,,,,,
0181C1050,217.6,1303,,,,,
0181C1060,160.9,1223,,,,,
0181C1070,339.1,1382,,,,,
0181C1080,283.4,1228,,,,,
0181C1090,340.5,1520,,,,,
0181C1100,338.5,1714,,,,,
0181C1110,363.2,1186,,,,,
0181C1120,276.9,1194,,,,,
0181C1130,356.4,1482,,,,,
0181C1140,369,1428,,,,,
0181C1150,254,1555,,,,,
0181C1160,277.6,2126,,,,,
0181C1170,324.5,1272,,,,,
0181C1180,330.8,1744,,,,,
0181C1190,217.8,1204,,,,,
0181C1200,326,1373,,,,,
0181C1210,268.1,1490,,,,,
0181C1220,205.7,1858,,,,,
0181C1230,302.4,777,,,,,
0181C1240,278.4,1719,,,,,
0181C1250,336.4,1291,,,,,
0181C1260,208.5,1590,,,,,
0181C1270,230,1678,,,,,
0181C1280,300,2707,,,,,
0181C1290,262.3,1693,,,,,
0181C1300,368,1974,,,,,
0181C1310,329,2111,,,,,
0181C1320,183.4,1457,,,,,
0181C1330,282.4,1122,,,,,
0181C1340,307,1421,,,,,
0181C1350,285.1,1363,,,,,
0181C1360,278.5,1249,,,,,
0181C1370,305.6,1654,,,,,
0181C1380,375.6,1638,,,,,
0181C1390,377.7,1797,,,,,
0182C1010,555.4,1367,,,,,
0182C1020,317.9,1223,,,,,
0182C1030,488,2097,,,,,
0182C1040,309.2,1376,,,,,
0182C1050,469.9,702,,,,,
0182C1060,484.3,1350,,,,,
0182C1070,554.2,1147,,,,,
0182C1080,531.4,1396,,,,,
0182C1090,403.9,1447,,,,,
0182C1100,334,643,,,,,
0182C1110,402.2,1660,,,,,
0182C1120,271.7,1828,,,,,
0182C1130,362.3,543,,,,,
0182C1140,253.7,1467,,,,,
0182C1150,280,1918,,,,,
0182C1160,537.4,802,,,,,
0182C1170,440.2,1618,,,,,
0182C1180,460.6,1335,,,,,
0182C1190,399.6,1260,,,,,
0182C1200,498.7,1025,,,,,
0182C1210,479.1,1460,,,,,
0182C1220,504.4,1127,,,,,
0182C1230,479.5,2048,,,,,
0182C1240,475.9,1371,,,,,
0182C1250,368.7,1915,,,,,
0182C1260,325.6,1344,,,,,
0182C1270,545.6,1190,,,,,
0182C1280,371.7,1899,,,,,
0182C1290,512.6,2276,,,,,
0182C1300,353.4,1487,,,,,
0182C1310,475.4,1729,,,,,
0182C1320,376.7,1704,,,,,
0182C1330,448.3,1753,,,,,
0182C1340,530.5,1185,,,,,
0182C1350,494.8,1910,,,,,
0182C1360,569.6,561,,,,,
0182C1370,537.3,2131,,,,,
0182C1380,359.9,1264,,,,,
0182C1390,363.3,2162,,,,,
0182C1400,396.1,1612,,,,,
0182C1410,464.9,2549,,,,,
0182C1420,524.6,1642,,,,,
0182C1430,448.4,569,,,,,
0182C1440,316.8,2118,,,,,
0182C1450,506.9,1516,,,,,
0182C1460,547.9,1752,,,,,
0182C1470,506.1,1365,,,,,
0182C1480,350,1404,,,,,
0182C1490,313.3,1926,,,,,
0182C1500,434.5,1491,,,,,
0182C1510,475.6,1591,,,,,
0182C1520,495.3,1581,,,,,
0182C1530,493.3,1043,,,,,
0183C1010,448.1,2474,,,,,
0183C1020,413,1430,,,,,
0183C1030,433.4,2100,,,,,
0183C1040,395.4,1337,,,,,
0183C1050,436.3,2153,,,,,
0183C1060,412.8,1360,,,,,
0183C1070,399.4,1444,,,,,
0183C1080,426.7,1796,,,,,
0183C1090,420.3,1224,,,,,
0183C1100,324.9,1204,,,,,
0183C1110,402.6,1232,,,,,
0183C1120,383.7,1501,,,,,
0183C1130,442.3,1329,,,,,
0183C1140,498.9,895,,,,,
0183C1150,341.6,1781,,,,,
0183C1160,327,1990,,,,,
0183C1170,235.5,1252,,,,,
0183C1180,321.3,1758,,,,,
0183C1190,323.8,1798,,,,,
0183C1200,256.6,1669,,,,,
0183C1210,296.3,1416,,,,,
0183C1220,314.9,1372,,,,,
0183C1230,426.6,1293,,,,,
0183C1240,473.9,2470,,,,,
0183C1250,367.4,1323,,,,,
0183C1260,508.5,2040,,,,,
0184C1010,383.8,1315,,,,,
0184C1020,379.2,1388,,,,,
0184C1030,238.1,2031,,,,,
0184C1040,380.9,1551,,,,,
0184C1050,458.4,2584,,,,,
0184C1060,392.6,1488,,,,,
0184C1070,388.1,1310,,,,,
0184C1080,358,1550,,,,,
0184C1090,419.1,1865,,,,,
0184C1100,375.2,1364,,,,,
0184C1110,387.2,1527,,,,,
0184C1120,407.1,1564,,,,,
0184C1130,305,1525,,,,,
0184C1140,425.5,1311,,,,,
0184C1150,406.1,1135,,,,,
0184C1160,357.2,1458,,,,,
0184C1170,375.8,1520,,,,,
0184C1180,399.2,953,,,,,
0184C1190,398.9,1572,,,,,
0184C1200,262.1,1571,,,,,
0184C1210,387.1,1478,,,,,
0184C1220,421.5,1827,,,,,
0184C1230,466.5,2264,,,,,
0184C1240,365.4,1507,,,,,
0184C1250,424.6,1205,,,,,
0184C1260,512.1,1725,,,,,
0184C1270,410.4,2093,,,,,
0184C1280,443.4,1852,,,,,
0184C1290,444,1483,,,,,
0184C1300,506.1,1544,,,,,
0184C1310,461.1,2345,,,,,
0184C1320,501.3,885,,,,,
0184C1330,528.5,1628,,,,,
0184C1340,423.4,1020,,,,,
0184C1350,307.5,1532,,,,,
0184C1360,391.8,1529,,,,,
0184C1370,407.1,1290,,,,,
0184C1380,345,1251,,,,,
0184C1390,494.1,1884,,,,,
0184C1400,66.3,1536,,,,,
0184C1410,459.8,1965,,,,,
0184C1420,419.1,1137,,,,,
0184C1430,629.1,988,,,,,
0186C1010,489.1,2149,,,,,
0186C1020,480,1433,,,,,
0186C1030,332.3,1401,,,,,
0186C1040,372.6,1018,,,,,
0186C1050,340,1645,,,,,
0186C1060,541.8,865,,,,,
0186C1070,515,1349,,,,,
0186C1080,370.9,1235,,,,,
0186C1090,472.4,1568,,,,,
0186C1100,344.6,1394,,,,,
0186C1110,302.7,1260,,,,,
0186C1120,324.3,1272,,,,,
0186C1130,471.7,1571,,,,,
0186C1140,432,1169,,,,,
0186C1150,420.1,1587,,,,,
0186C1160,563.3,1288,,,,,
0186C1170,507.8,1394,,,,,
0186C1180,391.9,1306,,,,,
0186C1190,482.5,1259,,,,,
0186C1200,515.4,1136,,,,,
0186C1210,366.7,1180,,,,,
0186C1220,417.8,1416,,,,,
0186C1230,460,1284,,,,,
0186C1240,424,1310,,,,,
0186C1250,527.4,1506,,,,,
0186C1260,609.4,1375,,,,,
0187A0010,375.3,1675,,,,,
0187C1010,340.7,1362,,,,,
0187C1020,343.9,1515,,,,,
0187C1030,402.7,1475,,,,,
0187C1040,554.9,633,,,,,
0187C1050,495.7,1064,,,,,
0187C1060,532.4,1097,,,,,
0188A0010,285.7,1012,,,,,
0188A0020,328.6,1238,,,,,
0188A0030,337.4,1440,,,,,
0188A0040,340.7,1817,,,,,
0188A0050,334.6,1054,,,,,
0188A0060,327.6,1863,,,,,
0188A0070,347.8,1238,,,,,
0188A0080,336.9,1046,,,,,
0188A0090,344.9,976,,,,,
0188A0100,305.6,989,,,,,
0188A0110,353,852,,,,,
0188A0120,355.4,1130,,,,,
0188A0130,296.1,993,,,,,
0188A0140,322.4,1292,,,,,
0188A0150,302.1,985,,,,,
0188A0160,302.9,1367,,,,,
0188A0170,308,975,,,,,
0188A0180,283.5,1621,,,,,
0188A0190,274.6,1087,,,,,
0188B2010,278.1,1286,,,,,
0188B2020,291.8,1270,,,,,
0188B2030,309,1567,,,,,
0188B3010,312.5,1108,,,,,
0188B3020,251.2,976,,,,,
0188B3030,259.4,1494,,,,,
0188B4010,267.2,1306,,,,,
0188B5010,314.7,1183,,,,,
0188C1010,328.3,1773,,,,,
0188C1020,269,1421,,,,,
0188C1030,378.3,1332,,,,,
0188C1040,298.2,1745,,,,,
0188C1050,305.4,1764,,,,,
0188C1060,312.9,3262,,,,,
0188C1070,330.1,983,,,,,
0188C1080,301.3,1791,,,,,
0188C1090,254.3,1378,,,,,
0188C1100,341.8,1689,,,,,
0188C1110,386.3,1625,,,,,
0191A0010,399.9,1215,,,,,
0191A0020,400,1381,,,,,
0191A0030,380.1,1189,,,,,
0191A0040,352,998,,,,,
0191B2010,323.7,1801,,,,,
0191B2020,488.3,899,,,,,
0191B2030,386.4,2031,,,,,
0191B2040,393.9,1622,,,,,
0191B2050,381.3,1127,,,,,
0191B3010,367.8,1434,,,,,
0191C1010,339.9,1705,,,,,
0191C1020,269,1763,,,,,
0191C1030,247.8,1554,,,,,
0191C1040,281.9,1510,,,,,
0191C1050,254.4,1691,,,,,
0191C1060,280.8,2019,,,,,
0191C1070,264.6,1510,,,,,
0191C1080,379.3,2400,,,,,
0191C1090,314.5,1855,,,,,
0191C1100,305.2,1382,,,,,
0191C1110,307,1385,,,,,
0191C1120,335,1679,,,,,
0191C1130,280.8,1490,,,,,
0191C1140,364.8,1442,,,,,
0192A0010,355.3,1352,,,,,
0192A0020,341.2,1833,,,,,
0192A0030,421,1167,,,,,
0192A0040,383.8,1740,,,,,
0192B2010,305.1,1793,,,,,
0192B2020,325.1,1364,,,,,
0192B3010,323.8,1031,,,,,
0192C1010,357.9,872,,,,,
0192C1020,349,1076,,,,,
0192C1030,342.2,1185,,,,,
0192C1040,288.6,1697,,,,,
0192C1050,281.5,965,,,,,
0192C1060,281.2,1748,,,,,
0192C1070,261.1,1672,,,,,
0192C1080,322.7,964,,,,,
0192C1090,306.9,1644,,,,,
0192C1100,393.4,824,,,,,
0305A0010,390.4,2163,,,,,
0305B2010,356.8,1576,,,,,
0305C1010,435.4,2099,,,,,
0305C1020,336,1137,,,,,
0305C1030,366.6,2198,,,,,
0305C1040,280.9,1407,,,,,
0305C1050,424.1,1600,,,,,
0305C1060,310.7,2111,,,,,
0305C1070,386.4,1224,,,,,
0305C1080,369.9,1125,,,,,
0319A0010,320,1297,,,,,
0319B2010,328.7,1251,,,,,
0319C1010,334.9,1377,,,,,
0319C1020,268.5,1919,,,,,
0319C1030,318,1545,,,,,
0330A0010,398.9,1282,,,,,
0330A0020,391.4,1742,,,,,
0330A0030,345.9,905,,,,,
0330C1010,335.2,1451,,,,,
0330C1020,378.5,1620,,,,,
0330C1030,326,2542,,,,,
0330C1040,449.8,1245,,,,,
0330C1050,490,850,,,,,
0330C1060,506,869,,,,,
0330C1070,425.6,1416,,,,,
0331A0010,314.8,865,,,,,
0331A0020,309,1467,,,,,
0331A0030,319.9,1316,,,,,
0331A0040,301,665,,,,,
0331A0050,301.2,753,,,,,
0331B2010,288,1546,,,,,
0331B3010,283.4,1219,,,,,
0331B4010,255.8,1024,,,,,
0331C1010,298.6,1285,,,,,
0331C1020,288.2,993,,,,,
0360A0010,332.8,778,,,,,
0360A0020,329.9,992,,,,,
0360A0030,304.4,1025,,,,,
0360A0040,336,1410,,,,,
0360A0050,292.4,1412,,,,,
0360A0060,325.3,880,,,,,
0360A0070,280.1,834,,,,,
0360B2010,301.8,1872,,,,,
0360B3010,265.3,1220,,,,,
0360B4010,277.2,1044,,,,,
0360C1010,252.9,2253,,,,,
0360C1020,306.5,1545,,,,,
0360C1030,322.1,1120,,,,,
0380A0010,406.5,1274,,,,,
0380A0020,371.8,1935,,,,,
0380A0030,426.2,1659,,,,,
0380A0040,396.9,1610,,,,,
0380A0050,347.6,1505,,,,,
0380A0060,386.6,1488,,,,,
0380A0070,322.6,1095,,,,,
0380A0080,379.8,1481,,,,,
0380A0090,334.8,977,,,,,
0380A0100,366.5,911,,,,,
0380A0110,380.7,804,,,,,
0380A0120,358.4,1834,,,,,
0380A0130,334.3,1310,,,,,
0380A0140,372.5,1236,,,,,
0380A0150,373.3,2037,,,,,
0380A0160,350.1,1904,,,,,
0380B2010,359.9,1148,,,,,
0380B2020,402.9,723,,,,,
0380B2030,420,1165,,,,,
0380B2040,365.3,1140,,,,,
0380B3010,433.2,972,,,,,
0380B3020,368,766,,,,,
0380B3030,383.4,984,,,,,
0380B4010,375.7,1232,,,,,
0380B4020,378.9,1224,,,,,
0380B5010,380,2257,,,,,
0380B6010,458,1610,,,,,
0380B7010,391.2,1025,,,,,
0380B8010,355.3,938,,,,,
0380C1010,516.5,720,,,,,
0380C1020,473.9,1039,,,,,
0380C1030,476.4,1142,,,,,
0380C1040,469.3,1128,,,,,
0380C1050,500.9,1468,,,,,
0380C1060,401.3,969,,,,,
0380C1070,221.9,1040,,,,,
0380C1080,293,808,,,,,
0380C1090,309.4,729,,,,,
0380C1100,216.1,926,,,,,
0380C1110,245.6,1243,,,,,
0380C1120,492.6,619,,,,,
0380C1130,181.2,943,,,,,
0380C1140,268.9,1138,,,,,
0380C1150,193.3,1270,,,,,
0380C1160,187.8,1200,,,,,
0380C1170,317.9,826,,,,,
0380C1180,260.7,1005,,,,,
0380C1190,327.5,1002,,,,,
0380C1200,432.7,836,,,,,
0380C1210,243,2546,,,,,
0380C1220,451,984,,,,,
0380C1230,444.6,1026,,,,,
0380C1240,463.2,1011,,,,,
0380C1250,415,1154,,,,,
0380C1260,327.3,2316,,,,,
0380C1270,431.9,629,,,,,
0380C1280,518.9,794,,,,,
0380C1290,311.8,1226,,,,,
0380C1300,345.3,812,,,,,
0380C1310,232.3,1173,,,,,
0380C1320,245.4,1295,,,,,
0380C1330,412,2515,,,,,
0380C1340,329.2,1130,,,,,
0380C1350,308.9,3358,,,,,
0380C1360,347.2,1305,,,,,
0380C1370,275.8,964,,,,,
0380C1380,327.9,898,,,,,
0380C1390,411,1134,,,,,
0380C1400,377.4,1636,,,,,
0380C1410,271.1,994,,,,,
0380C1420,67.3,1330,,,,,
0380C1430,95,976,,,,,
0380C1440,433.9,621,,,,,
0380C1450,305,998,,,,,
0380C1460,27.5,424,,,,,
0380C1470,343.1,1499,,,,,
0380C1480,386,4352,,,,,
0380C1490,169.8,1539,,,,,
0380C1500,292.6,862,,,,,
0380C1510,392.7,948,,,,,
0380C1520,58.1,1510,,,,,
0380C1530,299.4,1166,,,,,
0380C1540,71.7,1241,,,,,
0380C1550,59.8,1245,,,,,
0380C1560,362.3,1375,,,,,
0380C1570,388.1,572,,,,,
0380C1580,340.8,1045,,,,,
0380C1590,247.4,1288,,,,,
0380C1600,387,1239,,,,,
0380C1610,329.5,925,,,,,
0380C1620,398,928,,,,,
0380C1630,345.3,1634,,,,,
0380C1640,391.4,1129,,,,,
0380C1650,352.9,1085,,,,,
0380C1660,297.3,1127,,,,,
0380C1670,304.6,1022,,,,,
0380C1680,353.5,1122,,,,,
0380C1690,345,688,,,,,
0380C1700,411.4,1072,,,,,
0380C1710,355.4,1190,,,,,
0380C1720,369.3,1292,,,,,
0380C1730,177.2,1047,,,,,
0380C1740,331.4,1288,,,,,
0380C1750,270.7,1076,,,,,
0380C1760,373.6,1773,,,,,
0380C1770,336.6,754,,,,,
0380C1780,292.9,1064,,,,,
0380C1790,379.1,1363,,,,,
0380C1800,339.3,1770,,,,,
0380C1810,341.2,1180,,,,,
0380C1820,327.5,1153,,,,,
0380C1830,325.2,1671,,,,,
0380C1840,354.5,1509,,,,,
0380C1850,245.2,639,,,,,
0380C1860,416.6,1388,,,,,
0380C1870,276.1,1011,,,,,
0380C1880,259.1,1219,,,,,
0380C1890,354.9,1224,,,,,
0380C1900,339,1797,,,,,
0380C1910,406,611,,,,,
0380C1920,308.5,1147,,,,,
0380C1930,181.8,818,,,,,
0380C1940,297.9,2354,,,,,
0380C1950,254.4,857,,,,,
0380C1960,313.1,1110,,,,,
0380C1970,220,1363,,,,,
0380C1980,339.3,1187,,,,,
0380C1990,358.9,745,,,,,
0380C2000,348.5,1135,,,,,
0380C2010,114.1,1665,,,,,
0380C2020,389.2,1623,,,,,
0380C2030,315.8,1149,,,,,
0380C2040,254.2,1672,,,,,
0380C2050,319.7,985,,,,,
0380C2060,403.9,1036,,,,,
0380C2070,304.9,851,,,,,
0380C2080,292.6,1054,,,,,
0380C2090,368.6,1382,,,,,
0380C2100,243.2,1739,,,,,
0380C2110,315.8,1253,,,,,
0380C2120,299.4,673,,,,,
0380C2130,306.5,845,,,,,
0380C2140,326.8,1759,,,,,
0380C2150,262.3,1209,,,,,
0380C2160,312.2,874,,,,,
0380C2170,442.9,699,,,,,
0380C2180,344.1,1080,,,,,
0380C2190,417.1,676,,,,,
0380C2200,265.1,1703,,,,,
0380C2210,464,998,,,,,
0381A0010,360,1828,,,,,
0381A0020,369,850,,,,,
0381A0030,372.2,719,,,,,
0381A0040,344.6,770,,,,,
0381A0050,376.2,1516,,,,,
0381A0060,357.2,1097,,,,,
0381A0070,350.6,1899,,,,,
0381A0080,342.9,1320,,,,,
0381A0090,316.4,1479,,,,,
0381B2010,356.7,1411,,,,,
0381B3010,417.1,1530,,,,,
0381B4010,351,882,,,,,
0381B5010,344.5,696,,,,,
0381C1010,378.1,1370,,,,,
0381C1020,357.3,1791,,,,,
0381C1030,289.5,1900,,,,,
0381C1040,356.4,1886,,,,,
0381C1050,298.1,2003,,,,,
