deso,Median income tkr,Antal personer totalt,,,,,
0123C1170,214.8,767,,,,,
0123C1180,395.2,1404,,,,,
0123C1190,282.9,1500,,,,,
0123C1200,353.4,922,,,,,
0123C1210,249.6,1309,,,,,
0123C1220,339.5,2699,,,,,
0123C1230,285,1933,,,,,
0123C1240,341.1,1416,,,,,
0123C1250,273.9,1266,,,,,
0123C1260,273,2314,,,,,
0123C1270,421.8,1570,,,,,
0123C1280,278.6,855,,,,,
0123C1290,268.3,1757,,,,,
0123C1300,387.4,1441,,,,,
0123C1310,436.7,1073,,,,,
0123C1320,416.8,1831,,,,,
0123C1330,428,1656,,,,,
0123C1340,337.6,1842,,,,,
0123C1350,306.5,1929,,,,,
0123C1360,345.2,1949,,,,,
0123C1370,284.7,1320,,,,,
0123C1380,380.9,749,,,,,
0123C1390,352,1514,,,,,
0123C1400,448.9,1803,,,,,
0125A0010,390.9,759,,,,,
0125A0020,359.8,1247,,,,,
0125A0030,330.9,640,,,,,
0125A0040,398.9,1595,,,,,
0125B2010,407.1,1067,,,,,
0125B2020,386.7,1765,,,,,
0125B2030,405.2,847,,,,,
0125B3010,345.7,606,,,,,
0125B3020,380.5,974,,,,,
0125C1010,548.2,1069,,,,,
0125C1020,537,889,,,,,
0125C1030,433,1486,,,,,
0125C1040,419.3,1900,,,,,
0125C1050,431.3,1121,,,,,
0125C1060,363.7,1293,,,,,
0125C1070,460.6,1373,,,,,
0125C1080,413,1796,,,,,
0126A0010,394.4,1229,,,,,
0126C1010,422.3,1875,,,,,
0126C1020,285,2302,,,,,
0126C1030,224.8,1496,,,,,
0126C1040,373.7,1295,,,,,
0126C1050,396.1,1262,,,,,
0126C1060,269,1331,,,,,
0126C1070,309.8,1004,,,,,
0126C1080,144,2310,,,,,
0126C1090,278.9,1205,,,,,
0126C1100,328,1140,,,,,
0126C1110,261.3,1697,,,,,
0126C1120,444.9,1263,,,,,
0126C1130,245.8,1521,,,,,
0126C1140,225.6,1294,,,,,
0126C1150,406.9,876,,,,,
0126C1160,287.7,1489,,,,,
0126C1170,389.6,1406,,,,,
0126C1180,349.6,1031,,,,,
0126C1190,413.6,2378,,,,,
0126C1200,441.3,1536,,,,,
0126C1210,406.7,1262,,,,,
0126C1220,305.5,1525,,,,,
0126C1230,313.2,1776,,,,,
0126C1240,529.2,1142,,,,,
0126C1250,342.9,1454,,,,,
0126C1260,422.5,1869,,,,,
0126C1270,518.3,969,,,,,
0126C1280,340.7,1604,,,,,
0126C1290,451.3,1596,,,,,
0126C1300,285.9,1716,,,,,
0126C1310,422.6,2103,,,,,
0126C1320,345.4,1288,,,,,
0126C1330,429.6,1277,,,,,
0126C1340,347.7,1114,,,,,
0126C1350,456.1,1785,,,,,
0126C1360,519.4,1537,,,,,
0126C1370,306.3,861,,,,,
0126C1380,504.6,718,,,,,
0126C1390,466.2,1421,,,,,
0126C1400,436.7,1084,,,,,
0126C1410,397.6,1412,,,,,
0126C1420,252.3,1262,,,,,
0126C1430,480.7,962,,,,,
0126C1440,459.7,832,,,,,
0126C1450,491.3,713,,,,,
0126C1460,445.9,1950,,,,,
0126C1470,519.1,1087,,,,,
0126C1480,460.1,1373,,,,,
0126C1490,290.9,653,,,,,
0126C1500,413.4,1147,,,,,
0126C1510,254.6,1509,,,,,
0126C1520,205.6,799,,,,,
0126C1530,393.3,1682,,,,,
0126C1540,215.7,721,,,,,
0126C1550,266.3,1876,,,,,
0126C1560,416.5,1249,,,,,
0126C1570,390.7,1125,,,,,
0126C1580,465.1,1202,,,,,
0126C1590,398.1,1511,,,,,
0127A0010,380.1,1661,,,,,
0127A0020,302.4,1291,,,,,
0127C1010,401.3,693,,,,,
0127C1020,338.8,1296,,,,,
0127C1030,364.4,1887,,,,,
0127C1040,379.1,1199,,,,,
0127C1050,410.1,1964,,,,,
0127C1060,419.5,1256,,,,,
0127C1070,361.8,1195,,,,,
0127C1080,281.3,1908,,,,,
0127C1090,242.9,1646,,,,,
0127C1100,294.4,1541,,,,,
0127C1110,264.2,1370,,,,,
0127C1120,460.9,1076,,,,,
0127C1130,425.7,1059,,,,,
0127C1140,343,1388,,,,,
0127C1150,372,1952,,,,,
0127C1160,265.2,1468,,,,,
0127C1170,357.8,1425,,,,,
0127C1180,347.9,2649,,,,,
0127C1190,364.5,1347,,,,,
0127C1200,372,1593,,,,,
0127C1210,356.4,1388,,,,,
0127C1220,324.6,973,,,,,
0127C1230,414.1,773,,,,,
0127C1240,465.9,897,,,,,
0127C1250,432.8,1400,,,,,
0127C1260,443.5,1246,,,,,
0127C1270,259.1,1661,,,,,
0127C1280,271.2,1196,,,,,
0127C1290,240.4,1514,,,,,
0127C1300,238.1,957,,,,,
0127C1310,217.2,846,,,,,
0127C1320,242.2,1596,,,,,
0127C1330,259.1,1118,,,,,
0127C1340,247.6,1489,,,,,
0127C1350,280,2410,,,,,
0127C1360,234.8,1414,,,,,
0127C1370,267.3,1443,,,,,
0127C1380,205.3,765,,,,,
0127C1390,201.5,1020,,,,,
0127C1400,261.2,1457,,,,,
0127C1410,220.7,1440,,,,,
0127C1420,212.3,1381,,,,,
0127C1430,279.4,1477,,,,,
0127C1440,226.5,1685,,,,,
0127C1450,285.3,947,,,,,
0127C1460,277,1182,,,,,
0127C1470,233.9,1378,,,,,
0127C1480,302.5,1014,,,,,
0128A0010,450.6,1450,,,,,
0128C1010,488.8,1927,,,,,
0128C1020,376.7,1397,,,,,
0128C1030,320.4,1538,,,,,
0128C1040,349.8,1403,,,,,
0128C1050,294.1,1457,,,,,
0128C1060,357.1,1423,,,,,
0128C1070,380.9,1662,,,,,
0136A0010,322,619,,,,,
0136A0020,350.8,1819,,,,,
0136A0030,378,968,,,,,
0136B2010,384.3,1471,,,,,
0136C1010,361,1031,,,,,
0136C1020,367.1,1166,,,,,
0136C1030,358.4,1617,,,,,
0136C1040,389.3,1966,,,,,
0136C1050,333.4,1784,,,,,
0136C1060,386.2,1252,,,,,
0136C1070,296,1619,,,,,
0136C1080,358.6,1771,,,,,
0136C1090,253.6,1569,,,,,
0136C1100,254.8,1807,,,,,
0136C1110,318.1,1750,,,,,
0136C1120,233.6,1560,,,,,
0136C1130,256.1,1340,,,,,
0136C1140,349.7,897,,,,,
0136C1150,329.3,1069,,,,,
0136C1160,295.2,1678,,,,,
0136C1170,320,2123,,,,,
0136C1180,323.2,1474,,,,,
0136C1190,317.5,1009,,,,,
0136C1200,323.3,1528,,,,,
0136C1210,323.5,1047,,,,,
0136C1220,330.5,1163,,,,,
0136C1230,291,1650,,,,,
