id,full_address,lon,lat,vehicleTypes.car,vehicleTypes.bike,vehicleTypes.motorbike,isFastCharge,plugTypes,powerRange.min,powerRange.max
5bc32f076ac4570010991d83,"12, Gjutgärnsgatan Göteborg VÄSTRA GÖTALAND",11.9668972,57.7174751,TRUE,TRUE,TRUE,FALSE,,3.6,3.7
600607d3b2822b0018c5d742,"37, Södra Vägen Göteborg VÄSTRA GÖTALAND",11.9799907,57.6982355,TRUE,TRUE,TRUE,FALSE,,22,22
5bc36a6ac914260010574f32,1 Skepsbroplatsen Göteborg NA,11.97456,57.70887,TRUE,FALSE,FALSE,FALSE,,11,11
60abf29cbb1da4001231e19b,"6, Valhallagatan Göteborg VÄSTRA GÖTALAND",11.9904506,57.70088130000001,TRUE,TRUE,TRUE,FALSE,,22,22
60da1156db454c00137dc8d3,"19, Vasagatan Göteborg VÄSTRA GÖTALAND",11.9683001,57.69741039999999,TRUE,TRUE,TRUE,FALSE,,22,22
5e4ec2c96b392c0012283e61,"5, Fågelsången Göteborg VÄSTRA GÖTALAND",11.9818267,57.6969026,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
600607d1b2822b0018c5d6f5,"2, Ekmansgatan Göteborg VÄSTRA GÖTALAND",11.9777669,57.69610539999999,TRUE,TRUE,TRUE,FALSE,,22,22
5bc3316b6ac45700109a6420,"13, Viktoriagatan Göteborg VÄSTRA GÖTALAND",11.9654382,57.6971216,TRUE,TRUE,TRUE,FALSE,,22,22
5ca4a953ad356b0011f0de50,"3, Skolgatan Göteborg VÄSTRA GÖTALAND",11.9584354,57.6991906,TRUE,TRUE,TRUE,FALSE,,22,22
5e4ec2d06b392c0012283e67,Lilla Olskroksgatan Göteborg VÄSTRA GÖTALAND,11.9961853,57.7152217,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
5bc330d26ac45700109a0264,"24, Mässans gata Göteborg VÄSTRA GÖTALAND",11.9890381,57.6973466,TRUE,TRUE,TRUE,FALSE,,11,11
5bc36a86c914260010576487,Mässans Gata 24 Göteborg NA,11.9890381,57.6973466,TRUE,FALSE,FALSE,FALSE,,15,15
5ca4a9a8ad356b0011f0f3fb,"22, Pilgatan Göteborg VÄSTRA GÖTALAND",11.9596662,57.69710139999999,TRUE,TRUE,TRUE,FALSE,,22,22
5ca4a99aad356b0011f0ee2d,"12, Kapellgatan Göteborg VÄSTRA GÖTALAND",11.9730833,57.6946913,TRUE,TRUE,TRUE,FALSE,,22,22
5bea4f8b4405f90018e1a103,"8, Anders Carlssons gata Göteborg VÄSTRA GÖTALAND",11.947496,57.70845759999999,TRUE,TRUE,TRUE,FALSE,,22,22
5ddd0d4a09ad0c001291141e,Valhallagatan Göteborg VÄSTRA GÖTALAND,11.9895719,57.7002202,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
5ddd0d3b09ad0c00129113dd,Fabriksgatan Göteborg VÄSTRA GÖTALAND,11.9932089,57.7025659,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
657547ba7194eb27475e7f83,Järntorget 8 VÄSTRA FRÖLUNDA VÄSTRA GÖTALAND,11.95291,57.69959000000001,TRUE,FALSE,FALSE,FALSE,,11,11
5ca4a998ad356b0011f0ed59,"15, Anders Carlssons gata Göteborg VÄSTRA GÖTALAND",11.94767,57.70713389999999,TRUE,TRUE,TRUE,FALSE,,22,22
5c9f656fad356b0011efd222,"2, Lindholmsallen GÖTEBORG NA",11.948823,57.7132789,FALSE,FALSE,FALSE,FALSE,,NA,NA
6034303cd15e750018f6417d,"13, Amund Grefwegatan Göteborg VÄSTRA GÖTALAND",11.972418,57.69323670000001,TRUE,TRUE,TRUE,FALSE,,22,22
5ca4a7c9ad356b0011f07f7e,"4, Therese Svenssons gata Göteborg VÄSTRA GÖTALAND",11.9442349,57.70772520000001,TRUE,TRUE,TRUE,FALSE,,22,22
61491b615e3f0400145ca05b,Emigrantvägen 20 Göteborg VÄSTRA GÖTALAND,11.9460751,57.70134110000001,TRUE,TRUE,TRUE,FALSE,,11,11
602af183d15e750018f0e1b0,"2, Regnbågsgatan Göteborg VÄSTRA GÖTALAND",11.9440945,57.71095,TRUE,TRUE,TRUE,FALSE,,22,22
5ddd0e0009ad0c0012911ba4,Theres Svenssons Gata 9 Göteborg VÄSTRA GÖTALAND,11.9435252,57.70717409999999,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
5bea51f94405f90018e1c01a,"8, Landalagatan Göteborg VÄSTRA GÖTALAND",11.9712285,57.6922698,TRUE,TRUE,TRUE,FALSE,,22,22
5e4ec2b56b392c0012283e1f,Stena Danmarksterminalen Göteborg VÄSTRA GÖTALAND,11.9484475,57.7015173,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
5ca4a867ad356b0011f09c5e,"2, Plantagegatan Göteborg VÄSTRA GÖTALAND",11.9483506,57.69700020000001,TRUE,TRUE,TRUE,FALSE,,22,22
5f0e226304f9340013bd156a,Lillla Bommen 6 Göteborg NA,11.9685914,57.7122675,FALSE,FALSE,FALSE,FALSE,,7.7,26.6
5ca4a7d2ad356b0011f08205,"1, Brunnsgatan Göteborg VÄSTRA GÖTALAND",11.9581107,57.6935959,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
60a2b80e67b00800121c7adb,Nobelplatsen Göteborg VÄSTRA GÖTALAND,12.0064735,57.7139979,TRUE,TRUE,TRUE,FALSE,,22,22
5bc331c76ac45700109a788f,"6, Prästgårdsängen Göteborg VÄSTRA GÖTALAND",12.0070555,57.7059317,TRUE,TRUE,TRUE,FALSE,,11,11
5bc331ff6ac45700109a99c7,Krokegårdsgatan Göteborg VÄSTRA GÖTALAND,11.9510857,57.7216743,TRUE,TRUE,TRUE,TRUE,,22,50
5bc36a1bc9142600105729af,Lindholmspiren 4 Gothenburg NA,11.9407464,57.7080689,TRUE,FALSE,FALSE,FALSE,,22,22
6089e9b4d15e7500181c2e34,Lindholmspiren 2 NA NA,11.9402422,57.7084767,FALSE,FALSE,FALSE,FALSE,,11,22
5bc330b46ac457001099eba8,"2, Backavägen Göteborg VÄSTRA GÖTALAND",11.9555001,57.72202420000001,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
5ebdda93d85dc20012100f40,"70, Södra Vägen Göteborg VÄSTRA GÖTALAND",11.9916943,57.6926273,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
5e4ec2be6b392c0012283e54,"13, Vågmästaregatan Göteborg VÄSTRA GÖTALAND",11.9470242,57.7201227,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
62b90f821cbb3006c4166c06,"6, Prästgårdsängen Göteborg VÄSTRA GÖTALAND",12.0070555,57.7059317,TRUE,TRUE,TRUE,FALSE,,11,11
60a2b82c67b00800121c7b29,"1, Lindholmspiren Göteborg VÄSTRA GÖTALAND",11.939725,57.7082626,TRUE,TRUE,TRUE,FALSE,,22,22
5bc331656ac45700109a5fa2,"1, Humoreskgatan Hisings backa VÄSTRA GÖTALAND",11.9717124,57.7278524,TRUE,TRUE,TRUE,FALSE,,22,22
5bc3312d6ac45700109a3a97,"5A, Lindholmspiren Göteborg VÄSTRA GÖTALAND",11.9400502,57.7070193,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
5bc331f76ac45700109a966b,"5, Lindholmspiren Göteborg VÄSTRA GÖTALAND",11.9401762,57.70699940000001,TRUE,TRUE,TRUE,TRUE,,22,50
61888531b5cf471df425a2ad,"6, Richertsgatan Göteborg VÄSTRA GÖTALAND",11.9837477,57.68999549999999,TRUE,TRUE,TRUE,FALSE,,22,22
6344d002f59d7400259f8f8b,Richertsgatan 6 Gothenburg Västra Götalands län,11.9837477,57.68999549999999,TRUE,FALSE,FALSE,FALSE,,22,22
5e4ec2d46b392c0012283e6d,"30, Lindholmsallén Göteborg VÄSTRA GÖTALAND",11.9379282,57.7078772,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
5bc32fa46ac45700109973af,Getebergsled Göteborg VÄSTRA GÖTALAND,11.9958946,57.6898275,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
5ca4a8d1ad356b0011f0b812,"44, Andra långgatan Göteborg VÄSTRA GÖTALAND",11.9424167,57.69831239999999,TRUE,TRUE,TRUE,FALSE,,22,22
5e4ec3016b392c0012283f27,Nellickevägen Göteborg VÄSTRA GÖTALAND,11.9961204,57.690285,TRUE,TRUE,TRUE,FALSE,,7.4,7.4
