deso,bilar_i_trafik,,"Personbilar i trafik efter år, region och status"
0180C2320,489,,
0180C2330,400,,
0180C2340,417,,
0180C2350,490,,
0180C2360,324,,
0180C2370,350,,
0180C2380,432,,
0180C2390,348,,
0180C2400,391,,
0180C2410,360,,
0180C2420,446,,
0180C2430,654,,
0180C2440,481,,
0180C2450,304,,
0180C2460,488,,
0180C2470,295,,
0180C2480,413,,
0180C2490,430,,
0180C2500,343,,
0180C2510,439,,
0180C2520,219,,
0180C2530,376,,
0180C2540,425,,
0180C2550,378,,
0180C2560,389,,
0180C2570,424,,
0180C2580,631,,
0180C2590,442,,
0180C2600,494,,
0180C2610,436,,
0180C2620,511,,
0180C2630,332,,
0180C2640,476,,
0180C2650,285,,
0180C2660,315,,
0180C2670,364,,
0180C2680,426,,
0180C2690,367,,
0180C2700,490,,
0180C2710,436,,
0180C2720,300,,
0180C2730,329,,
0180C2740,378,,
0180C2750,470,,
0180C2760,328,,
0180C2770,389,,
0180C2780,717,,
0180C2790,353,,
0180C2800,423,,
0180C2810,430,,
0180C2820,295,,
0180C2830,289,,
0180C2840,378,,
0180C2850,324,,
0180C2860,412,,
0180C2870,260,,
0180C2880,599,,
0180C2890,325,,
0180C2900,510,,
0180C2910,280,,
0180C2920,509,,
0180C2930,278,,
0180C2940,412,,
0180C2950,942,,
0180C2960,422,,
0180C2970,370,,
0180C2980,336,,
0180C2990,276,,
0180C3000,272,,
0180C3010,229,,
0180C3020,205,,
0180C3030,245,,
0180C3040,342,,
0180C3050,358,,
0180C3060,275,,
0180C3070,404,,
0180C3080,238,,
0180C3090,313,,
0180C3100,578,,
0180C3110,203,,
0180C3120,341,,
0180C3130,270,,
0180C3140,267,,
0180C3150,226,,
0180C3160,338,,
0180C3170,293,,
0180C3180,272,,
0180C3190,389,,
0180C3200,387,,
0180C3210,326,,
0180C3220,406,,
0180C3230,343,,
0180C3240,448,,
0180C3250,285,,
0180C3260,290,,
0180C3270,422,,
0180C3280,238,,
0180C3290,235,,
0180C3300,428,,
0180C3310,248,,
0180C3320,270,,
0180C3330,477,,
0180C3340,260,,
0180C3350,341,,
0180C3360,301,,
0180C3370,306,,
0180C3380,202,,
0180C3390,220,,
0180C3400,269,,
0180C3410,412,,
0180C3420,278,,
0180C3430,259,,
0180C3440,235,,
0180C3450,360,,
0180C3460,251,,
0180C3470,205,,
0180C3480,360,,
0180C3490,238,,
0180C3500,161,,
0180C3510,496,,
0180C3520,320,,
0180C3530,324,,
0180C3540,263,,
0180C3550,306,,
0180C3560,385,,
0180C3570,236,,
0180C3580,307,,
0180C3590,355,,
0180C3600,259,,
0180C3610,539,,
0180C3620,254,,
0180C3630,176,,
0180C3640,285,,
0180C3650,328,,
0180C3660,152,,
0180C3670,179,,
0180C3680,299,,
0180C3690,333,,
0180C3700,214,,
0180C3710,278,,
0180C3720,452,,
0180C3730,332,,
0180C3740,238,,
0180C3750,275,,
0180C3760,491,,
0180C3770,253,,
0180C3780,184,,
0180C3790,237,,
0180C3800,300,,
0180C3810,256,,
0180C3820,256,,
0180C3830,437,,
0180C3840,553,,
0180C3850,633,,
0180C3860,297,,
0180C3870,435,,
0180C3880,304,,
0180C3890,208,,
0180C3900,401,,
0180C3910,622,,
0180C3920,263,,
0180C3930,330,,
0180C3940,309,,
0180C3950,234,,
0180C3960,277,,
0180C3970,307,,
0180C3980,317,,
0180C3990,315,,
0180C4000,452,,
0180C4010,260,,
0180C4020,318,,
0180C4030,218,,
0180C4040,355,,
0180C4050,444,,
0180C4060,765,,
0180C4070,262,,
0180C4080,397,,
0180C4090,219,,
0180C4100,260,,
0180C4110,562,,
0180C4120,300,,
0180C4130,306,,
0180C4140,379,,
0180C4150,274,,
0180C4160,264,,
0180C4170,174,,
0180C4180,463,,
0180C4190,436,,
0180C4200,522,,
0180C4210,406,,
0180C4220,302,,
0180C4230,209,,
0180C4240,304,,
0180C4250,271,,
0180C4260,452,,
0180C4270,212,,
0180C4280,334,,
0180C4290,396,,
0180C4300,416,,
0180C4310,525,,
0180C4320,364,,
0180C4330,250,,
0180C4340,351,,
0180C4350,315,,
0180C4360,294,,
0180C4370,346,,
0180C4380,388,,
0180C4390,404,,
0180C4400,232,,
0180C4410,242,,
0180C4420,154,,
0180C4430,344,,
0180C4440,420,,
0180C4450,493,,
0180C4460,525,,
0180C4470,244,,
0180C4480,399,,
0180C4490,310,,
0180C4500,267,,
0180C4510,551,,
0180C4520,355,,
0180C4530,539,,
0180C4540,273,,
0180C4550,232,,
0180C4560,395,,
0180C4570,337,,
0180C4580,501,,
0180C4590,404,,
0180C4600,304,,
0180C4610,243,,
0180C4620,281,,
0180C4630,293,,
0180C4640,417,,
0180C4650,244,,
0180C4660,203,,
0180C4670,362,,
0180C4680,377,,
0180C4690,294,,
0180C4700,613,,
0180C4710,332,,
0180C4720,403,,
0180C4730,395,,
0180C4740,298,,
0180C4750,314,,
0180C4760,224,,
0180C4770,408,,
0180C4780,272,,
0180C4790,417,,
0180C4800,289,,
0180C4810,412,,
0180C4820,321,,
0180C4830,343,,
0180C4840,250,,
0180C4850,285,,
0180C4860,349,,
0180C4870,405,,
0180C4880,300,,
0180C4890,244,,
0180C4900,324,,
0180C4910,378,,
0180C4920,257,,
0180C4930,441,,
0180C4940,524,,
0180C4950,328,,
0180C4960,322,,
0180C4970,612,,
0180C4980,168,,
0180C4990,339,,
0180C5000,289,,
0180C5010,515,,
0180C5020,361,,
0180C5030,215,,
0180C5040,377,,
0180C5050,537,,
0180C5060,366,,
0180C5070,261,,
0180C5080,338,,
0180C5090,325,,
0180C5100,463,,
0180C5110,302,,
0180C5120,448,,
0180C5130,222,,
0180C5140,248,,
0180C5150,578,,
0180C5160,356,,
0180C5170,245,,
0180C5180,303,,
0180C5190,315,,
0180C5200,305,,
0180C5210,568,,
0180C5220,344,,
0180C5230,324,,
0180C5240,302,,
0180C5250,600,,
0180C5260,641,,
0180C5270,296,,
0180C5280,261,,
0180C5290,306,,
0180C5300,339,,
0180C5310,350,,
0180C5320,402,,
0180C5330,225,,
0180C5340,301,,
0180C5350,292,,
0180C5360,241,,
0180C5370,307,,
0180C5380,209,,
0180C5390,270,,
0180C5400,520,,
0180C5410,329,,
0180C5420,631,,
0180C5430,187,,
0180C5440,206,,
0180C5450,605,,
0180C5460,440,,
0180C5470,445,,
0180C5480,206,,
0180C5490,362,,
0180C5500,501,,
0180C5510,401,,
0180C5520,175,,
0180C5530,430,,
0180C5540,717,,
0180C5550,366,,
0180C5560,318,,
0180C5570,293,,
0180C5580,497,,
0180C5590,317,,
0180C5600,428,,
0180C5610,341,,
0180C5620,509,,
0180C5630,475,,
0180C5640,508,,
0180C5650,781,,
0180C5660,491,,
0180C5670,308,,
0180C5680,564,,
0180C5690,928,,
0180C5700,348,,
0180C5710,330,,
0180C5720,385,,
0180C5730,345,,
0180C5740,290,,
0180C5750,726,,
0180C5760,350,,
0180C5770,278,,
0180C5780,359,,
0180C5790,356,,
0180C5800,544,,
0180C5810,649,,
0180C5820,917,,
0180C5830,803,,
0180C5840,525,,
0180C5850,917,,
0180C5860,818,,
0180C5870,513,,
0180C5880,340,,
0180C5890,679,,
0180C5900,33,,
0180C5910,727,,
0180C5920,708,,
0180C5930,645,,
0180C5940,454,,
0180C5950,493,,
0180C5960,581,,
0180C5970,796,,
0180C5980,406,,
0180C5990,845,,
0180C6000,596,,
0180C6010,637,,
0180C6020,902,,
0180C6030,718,,
0180C6040,622,,
0180C6050,901,,
0180C6060,982,,
0180C6070,267,,
0180C6080,526,,
0180C6090,332,,
0180C6100,205,,
0180C6110,213,,
0180C6120,240,,
0180C6130,501,,
0180C6140,359,,
0180C6150,334,,
0180C6160,235,,
0180C6170,269,,
0180C6180,298,,
0180C6190,928,,
0180C6200,349,,
0180C6210,313,,
0180C6220,325,,
0180C6230,212,,
0180C6240,324,,
0180C6250,259,,
0180C6260,300,,
0180C6270,319,,
0180C6280,444,,
0180C6290,617,,
0180C6300,372,,
0180C6310,248,,
0180C6320,427,,
0180C6330,192,,
0180C6340,380,,
0180C6350,317,,
0180C6360,323,,
0180C6370,248,,
0180C6380,271,,
0180C6390,498,,
0180C6400,429,,
0180C6410,424,,
0180C6420,315,,
0180C6430,246,,
0180C6440,379,,
0181A0010,753,,
0181A0020,1018,,
0181A0030,1392,,
0181A0040,627,,
0181A0050,601,,
0181A0060,952,,
0181B2010,1010,,
0181B2020,606,,
0181B2030,1098,,
0181B2040,667,,
0181B4010,865,,
0181B5010,535,,
0181C1010,1021,,
0181C1020,935,,
0181C1030,484,,
0181C1040,597,,
0181C1050,396,,
0181C1060,295,,
0181C1070,583,,
0181C1080,453,,
0181C1090,737,,
0181C1100,769,,
0181C1110,519,,
0181C1120,665,,
0181C1130,613,,
0181C1140,746,,
0181C1150,509,,
0181C1160,808,,
0181C1170,354,,
0181C1180,690,,
0181C1190,396,,
0181C1200,583,,
0181C1210,553,,
0181C1220,647,,
0181C1230,312,,
0181C1240,692,,
0181C1250,593,,
0181C1260,531,,
0181C1270,602,,
0181C1280,758,,
0181C1290,721,,
0181C1300,1231,,
0181C1310,913,,
0181C1320,357,,
0181C1330,540,,
0181C1340,702,,
0181C1350,472,,
0181C1360,529,,
0181C1370,861,,
0181C1380,1034,,
0181C1390,1210,,
0182C1010,678,,
0182C1020,373,,
0182C1030,995,,
0182C1040,480,,
0182C1050,462,,
0182C1060,713,,
0182C1070,700,,
0182C1080,745,,
0182C1090,798,,
0182C1100,305,,
0182C1110,818,,
0182C1120,550,,
0182C1130,258,,
0182C1140,316,,
0182C1150,544,,
0182C1160,419,,
0182C1170,663,,
0182C1180,755,,
0182C1190,429,,
0182C1200,385,,
0182C1210,737,,
0182C1220,555,,
0182C1230,746,,
0182C1240,617,,
0182C1250,518,,
0182C1260,416,,
0182C1270,668,,
0182C1280,657,,
0182C1290,980,,
0182C1300,477,,
0182C1310,852,,
0182C1320,667,,
0182C1330,697,,
0182C1340,701,,
0182C1350,769,,
0182C1360,315,,
0182C1370,751,,
0182C1380,466,,
0182C1390,753,,
0182C1400,681,,
0182C1410,921,,
0182C1420,924,,
0182C1430,346,,
0182C1440,721,,
0182C1450,817,,
0182C1460,881,,
0182C1470,764,,
0182C1480,673,,
0182C1490,659,,
0182C1500,767,,
0182C1510,907,,
0182C1520,857,,
0182C1530,635,,
0183C1010,846,,
0183C1020,415,,
0183C1030,610,,
0183C1040,359,,
0183C1050,554,,
0183C1060,412,,
0183C1070,434,,
0183C1080,545,,
0183C1090,411,,
0183C1100,335,,
0183C1110,461,,
0183C1120,484,,
0183C1130,488,,
0183C1140,446,,
0183C1150,449,,
0183C1160,577,,
0183C1170,254,,
0183C1180,522,,
0183C1190,380,,
0183C1200,416,,
0183C1210,379,,
0183C1220,365,,
0183C1230,481,,
0183C1240,962,,
0183C1250,428,,
0183C1260,856,,
0184C1010,384,,
0184C1020,486,,
0184C1030,357,,
0184C1040,480,,
0184C1050,730,,
0184C1060,493,,
0184C1070,367,,
0184C1080,460,,
0184C1090,492,,
0184C1100,409,,
0184C1110,442,,
0184C1120,526,,
0184C1130,426,,
0184C1140,437,,
0184C1150,327,,
0184C1160,482,,
0184C1170,469,,
0184C1180,206,,
0184C1190,489,,
0184C1200,377,,
0184C1210,355,,
0184C1220,491,,
0184C1230,647,,
0184C1240,478,,
0184C1250,295,,
0184C1260,611,,
0184C1270,615,,
0184C1280,566,,
0184C1290,481,,
0184C1300,585,,
0184C1310,730,,
0184C1320,372,,
0184C1330,698,,
0184C1340,398,,
0184C1350,435,,
0184C1360,517,,
0184C1370,454,,
0184C1380,341,,
0184C1390,692,,
0184C1400,47,,
0184C1410,696,,
0184C1420,375,,
0184C1430,381,,
0186C1010,995,,
0186C1020,759,,
0186C1030,498,,
0186C1040,494,,
0186C1050,451,,
0186C1060,500,,
0186C1070,765,,
0186C1080,515,,
0186C1090,764,,
0186C1100,507,,
0186C1110,406,,
0186C1120,402,,
0186C1130,720,,
0186C1140,584,,
0186C1150,690,,
0186C1160,761,,
0186C1170,742,,
0186C1180,541,,
0186C1190,624,,
0186C1200,675,,
0186C1210,541,,
0186C1220,690,,
0186C1230,752,,
0186C1240,642,,
0186C1250,827,,
0186C1260,863,,
0187A0010,839,,
0187C1010,688,,
0187C1020,689,,
0187C1030,934,,
0187C1040,364,,
0187C1050,655,,
0187C1060,688,,
0188A0010,645,,
0188A0020,962,,
0188A0030,1059,,
0188A0040,1416,,
0188A0050,807,,
0188A0060,1383,,
0188A0070,1019,,
0188A0080,764,,
0188A0090,774,,
0188A0100,718,,
0188A0110,710,,
0188A0120,837,,
0188A0130,742,,
0188A0140,998,,
0188A0150,710,,
0188A0160,992,,
0188A0170,722,,
0188A0180,1112,,
0188A0190,787,,
0188B2010,677,,
0188B2020,671,,
0188B2030,892,,
0188B3010,779,,
0188B3020,471,,
0188B3030,785,,
0188B4010,736,,
0188B5010,791,,
0188C1010,930,,
0188C1020,533,,
0188C1030,780,,
0188C1040,774,,
0188C1050,867,,
0188C1060,1518,,
0188C1070,522,,
0188C1080,1008,,
0188C1090,611,,
0188C1100,968,,
0188C1110,1074,,
0191A0010,832,,
0191A0020,938,,
0191A0030,934,,
0191A0040,793,,
0191B2010,937,,
0191B2020,643,,
0191B2030,1140,,
0191B2040,914,,
0191B2050,640,,
0191B3010,815,,
0191C1010,963,,
0191C1020,590,,
0191C1030,440,,
0191C1040,592,,
0191C1050,487,,
0191C1060,715,,
0191C1070,512,,
0191C1080,1354,,
0191C1090,614,,
0191C1100,552,,
0191C1110,549,,
0191C1120,862,,
0191C1130,470,,
0191C1140,832,,
0192A0010,946,,
0192A0020,1291,,
0192A0030,790,,
0192A0040,1317,,
0192B2010,793,,
0192B2020,734,,
0192B3010,680,,
0192C1010,486,,
0192C1020,551,,
0192C1030,595,,
0192C1040,723,,
0192C1050,350,,
0192C1060,693,,
0192C1070,549,,
0192C1080,428,,
0192C1090,620,,
0192C1100,477,,
0305A0010,1642,,
0305B2010,1208,,
0305C1010,1473,,
0305C1020,657,,
0305C1030,1359,,
0305C1040,544,,
0305C1050,1106,,
0305C1060,1057,,
0305C1070,828,,
0305C1080,728,,
0319A0010,974,,
0319B2010,905,,
0319C1010,955,,
0319C1020,1015,,
0319C1030,999,,
0330A0010,989,,
0330A0020,1412,,
0330A0030,809,,
0330C1010,747,,
0330C1020,881,,
0330C1030,1156,,
0330C1040,776,,
0330C1050,555,,
0330C1060,579,,
0330C1070,939,,
0331A0010,655,,
0331A0020,1207,,
0331A0030,913,,
0331A0040,519,,
0331A0050,625,,
0331B2010,946,,
0331B3010,688,,
0331B4010,633,,
0331C1010,814,,
0331C1020,650,,
0360A0010,666,,
0360A0020,779,,
0360A0030,736,,
0360A0040,1153,,
0360A0050,1033,,
0360A0060,710,,
0360A0070,642,,
0360B2010,1084,,
0360B3010,669,,
0360B4010,664,,
0360C1010,966,,
0360C1020,861,,
0360C1030,702,,
0380A0010,948,,
0380A0020,1510,,
0380A0030,1168,,
0380A0040,1268,,
0380A0050,1124,,
0380A0060,1213,,
0380A0070,756,,
0380A0080,1016,,
0380A0090,757,,
0380A0100,714,,
0380A0110,677,,
0380A0120,1532,,
0380A0130,1038,,
0380A0140,984,,
0380A0150,1597,,
0380A0160,1506,,
0380B2010,664,,
0380B2020,430,,
0380B2030,712,,
0380B2040,671,,
0380B3010,692,,
0380B3020,508,,
0380B3030,668,,
0380B4010,866,,
0380B4020,790,,
0380B5010,1553,,
0380B6010,964,,
0380B7010,656,,
0380B8010,609,,
0380C1010,539,,
0380C1020,650,,
0380C1030,690,,
0380C1040,702,,
0380C1050,886,,
0380C1060,484,,
0380C1070,368,,
0380C1080,350,,
0380C1090,331,,
0380C1100,269,,
0380C1110,431,,
0380C1120,406,,
0380C1130,225,,
