deso,regso,nodes,avg_accessibility,avg_dijk_dist,avg_euc_dist,area_m2,Median income tkr,pop,total_households,swedish,foreign,middle_school,gymnasium,post_gymnasium_less_than_3,post_gymnasium_more_than_3,education_missing,hyresrätt,bostadsrätt,äganderätt,bilar_i_trafik,cars_per_household
1480C1090,Näset,484,1.2870074540581475,0,0.026393824919813073,15171505.83634548,491.6,1835,680,0.849591280653951,0.15040871934604905,0.02910360884749709,0.23166472642607683,0.21071012805587894,0.5017462165308498,0.02677532013969732,0.10541310541310542,0.011396011396011397,0.8831908831908832,785,1.1544117647058822
1480C1140,Näset,244,1.2870074540581475,0,0.018740783980707755,1257478.0947496293,466.8,2038,685,0.8635917566241413,0.1364082433758587,0.035869565217391305,0.26521739130434785,0.19782608695652174,0.48586956521739133,0.015217391304347827,0.004379562043795621,0,0.9956204379562044,779,1.1372262773722628
1480C1290,Bratthammar,234,1.2870074540581475,0,0.012200547881194224,1210971.865134008,426,2534,873,0.8520126282557222,0.1479873717442778,0.046363636363636364,0.2772727272727273,0.19454545454545455,0.4636363636363636,0.01818181818181818,0.0327683615819209,0,0.9672316384180791,976,1.1179839633447881
1480C1380,Guldringen,81,1.2870074540581475,0,0.0029483896264023033,357599.3850551773,320.1,2454,1374,0.726161369193154,0.27383863080684595,0.07859922178988327,0.4163424124513619,0.20311284046692607,0.27782101167315176,0.024124513618677044,0.3532684283727399,0.6467315716272601,0,754,0.5487627365356623
1480C1390,Fiskebäck södra,432,1.2870074540581475,0,0.01235240635467399,1159568.4246638718,474,1895,663,0.9139841688654353,0.08601583113456464,0.03121387283236994,0.22196531791907514,0.18034682080924855,0.5549132947976878,0.011560693641618497,0.006042296072507553,0,0.9939577039274925,749,1.1297134238310709
1480C1410,Fiskebäck södra,407,1.2870074540581475,0,0.008673092223618667,1027610.598321241,420.2,1933,708,0.867563372995344,0.13243662700465597,0.02689486552567237,0.2775061124694376,0.1784841075794621,0.5036674816625917,0.013447432762836185,0.002844950213371266,0,0.9971550497866287,748,1.0564971751412429
1480C2570,Hjuvik,644,1.2870074540581475,0,0.03429762113318503,1980635.473907484,507.7,2074,724,0.9064609450337512,0.0935390549662488,0.041501976284584984,0.27964426877470355,0.19466403162055335,0.475296442687747,0.008893280632411068,0.001388888888888889,0.025,0.9736111111111111,873,1.2058011049723756
1480C3050,Norra Biskopsgården,37,1.2870074540581475,0,0.007422264280638639,132614.6131783049,205.7,2429,856,0.08069164265129683,0.9193083573487032,0.3392036753445635,0.3537519142419602,0.12633996937212863,0.12633996937212863,0.05436447166921899,1,0,0,344,0.40186915887850466
1480C3070,Norra Biskopsgården,5,1.2870074540581475,0,0.003996809509756299,55480.2558041873,204.7,923,348,0.06825568797399784,0.9317443120260022,0.2854368932038835,0.37281553398058254,0.12427184466019417,0.13203883495145632,0.0854368932038835,1,0,0,152,0.4367816091954023
1480C3120,Jättesten,97,1.2870074540581475,0,0.009461213417951864,477207.4066527004,296.5,2106,1052,0.2939221272554606,0.7060778727445394,0.1611754229741763,0.38913624220837045,0.15316117542297417,0.22707034728406056,0.06945681211041853,0.12203687445127305,0.848990342405619,0.02897278314310799,586,0.5570342205323194
1480C3130,Jättesten,49,1.2870074540581475,0,0.00639830644884076,246830.7541563635,223.7,2401,1047,0.24073302790503956,0.7592669720949604,0.24398340248962655,0.44315352697095434,0.12033195020746888,0.15518672199170125,0.03734439834024896,1,0,0,467,0.44603629417383
1480C3240,Utby,154,1.2870074540581475,0,0.021984720419200715,587366.2229256441,390.7,2518,985,0.7684670373312152,0.23153296266878476,0.06784660766961652,0.3215339233038348,0.17182890855457228,0.42625368731563423,0.012536873156342183,0.45143884892086333,0.08093525179856115,0.4676258992805755,874,0.8873096446700508
1480C3250,Utby,164,1.2870074540581475,0,0.014173977746463909,535188.6818414581,435.2,2225,706,0.8350561797752809,0.1649438202247191,0.03571428571428571,0.26160714285714287,0.18571428571428572,0.5053571428571428,0.011607142857142858,0.028050490883590462,0.03225806451612903,0.9396914446002805,780,1.1048158640226629
1480C3390,Bergsjön sydöstra,106,1.2870074540581475,0,0.03703290966984532,615086.1596935409,247.1,2484,1128,0.15257648953301128,0.8474235104669887,0.19338605319913732,0.37526959022286127,0.13731128684399713,0.20632638389647737,0.08770668583752696,0.9053435114503817,0.00916030534351145,0.08549618320610687,511,0.4530141843971631
1480C3400,Bergsjön södra,55,1.2870074540581475,0,0.02995628731803072,1475271.1688657831,226,2880,988,0.09930555555555555,0.9006944444444445,0.2549420586230402,0.3551465576005453,0.1383776414451261,0.17791411042944785,0.0736196319018405,0.8848223896663079,0.03336921420882669,0.08180839612486544,559,0.5657894736842105
1480C3530,Bergsjön Rymdtorget,42,1.2870074540581475,0,0.039242619907102316,1341048.8160280038,192.1,1484,626,0.07749326145552561,0.9225067385444744,0.29376498800959233,0.3824940047961631,0.12709832134292565,0.13309352517985612,0.06354916067146282,1,0,0,253,0.40415335463258784
