bro;Kommunnamn;DeSO;RegSO;;;;
1440;Ale;1440C1060;Alafors;;;;
1440;Ale;1440A0020;Alvhem-Hålanda;;;;
1440;Ale;1440B3010;Alvhem-Hålanda;;;;
1440;Ale;1440B2030;Bohus;;;;
1440;Ale;1440B2040;Bohus;;;;
1440;Ale;1440C1030;Centrala Nödinge;;;;
1440;Ale;1440C1080;Centrala Älvängen;;;;
1440;Ale;1440C1040;Nol;;;;
1440;Ale;1440C1050;Nol;;;;
1440;Ale;1440C1090;Norra Älvängen;;;;
1440;Ale;1440C1100;Skepplanda;;;;
1440;Ale;1440A0010;Starrkärr-Kilanda-Ryd;;;;
1440;Ale;1440B2010;Surte;;;;
1440;Ale;1440B2020;Surte;;;;
1440;Ale;1440C1010;Södra Nödinge;;;;
1440;Ale;1440C1070;Södra Älvängen;;;;
1440;Ale;1440C1020;Östra Nödinge;;;;
1489;Alingsås;1489C1050;Alingsås centrum;;;;
1489;Alingsås;1489A0040;Alingsås nordöstra omland;;;;
1489;Alingsås;1489A0050;Alingsås norra omland;;;;
1489;Alingsås;1489A0030;Alingsås västra omland;;;;
1489;Alingsås;1489A0020;Alingsås östra omland;;;;
1489;Alingsås;1489C1140;Bolltorp;;;;
1489;Alingsås;1489C1090;Brogården-Östlyckan;;;;
1489;Alingsås;1489C1080;Brunnsparken-Landskyrkan;;;;
1489;Alingsås;1489C1010;Gråbo-Ängabo;;;;
1489;Alingsås;1489A0010;Hemsjö-Ödenäs;;;;
1489;Alingsås;1489B2010;Ingared;;;;
1489;Alingsås;1489C1020;Kullingsberg-Rothoffskär;;;;
1489;Alingsås;1489C1150;Kvarnbacken-Enehagen;;;;
1489;Alingsås;1489C1040;Lövekulle-Stadsskogen;;;;
1489;Alingsås;1489C1120;Nolby-Sävelund;;;;
1489;Alingsås;1489C1100;Nolhaga-Hagagården;;;;
1489;Alingsås;1489C1110;Noltorp;;;;
1489;Alingsås;1489C1070;Nygård-Stockslycke;;;;
1489;Alingsås;1489C1030;Prästeryd-Gerdsken;;;;
1489;Alingsås;1489C1130;Saxebäcken-Tegelbruket;;;;
1489;Alingsås;1489B3010;Sollebrunn;;;;
1489;Alingsås;1489C1060;Sörhaga-Gustav Adolf;;;;
1489;Alingsås;1489B2020;Västra bodarna-Hästeryd;;;;
0764;Alvesta;0764C1040;Alvesta centrum;;;;
0764;Alvesta;0764C1050;Alvesta nordost;;;;
0764;Alvesta;0764C1010;Alvesta sydost;;;;
0764;Alvesta;0764C1020;Alvesta södra;;;;
0764;Alvesta;0764C1030;Alvesta västra;;;;
0764;Alvesta;0764A0030;Blädinge;;;;
0764;Alvesta;0764A0020;Grimslöv;;;;
0764;Alvesta;0764A0040;Hjortsberga;;;;
0764;Alvesta;0764B2010;Moheda-Torpsbruk;;;;
0764;Alvesta;0764B2020;Moheda-Torpsbruk;;;;
0764;Alvesta;0764A0050;Slätthög;;;;
0764;Alvesta;0764B3010;Vislanda;;;;
0764;Alvesta;0764A0010;Västra Torsås;;;;
0604;Aneby;0604C1020;Aneby nordvästra;;;;
0604;Aneby;0604A0020;Aneby västra omland;;;;
0604;Aneby;0604C1010;Aneby östra;;;;
0604;Aneby;0604A0010;Aneby östra omland;;;;
1984;Arboga;1984A0010;Arboga landsbyggd norr;;;;
1984;Arboga;1984A0020;Arboga landsbyggd syd;;;;
1984;Arboga;1984C1060;Grindberga-Anneberg;;;;
1984;Arboga;1984C1050;Ladubackgärdena-Prästgärdet;;;;
1984;Arboga;1984C1040;Nästkvarn-Studrestaden;;;;
1984;Arboga;1984C1030;Sjukhusgärdet-Ekbacken;;;;
1984;Arboga;1984C1010;Strömsnäs-Brattberget;;;;
1984;Arboga;1984C1070;Vasastaden-Marieborg-Näsby;;;;
1984;Arboga;1984C1020;Vinbäcken-Åbrinken-Söder;;;;
2506;Arjeplog;2506A0010;Arjeplog glesbygd;;;;
2506;Arjeplog;2506C1010;Arjeplog tätort;;;;
2505;Arvidsjaur;2505C1030;Arvidsjaur centrala;;;;
2505;Arvidsjaur;2505A0010;Arvidsjaur omland;;;;
2505;Arvidsjaur;2505C1010;Arvidsjaur västra;;;;
2505;Arvidsjaur;2505C1020;Arvidsjaur östra;;;;
1784;Arvika;1784C1030;Arvika centrum-Högåsen-Degerängen;;;;
1784;Arvika;1784C1050;Arvika centrum-Högåsen-Degerängen;;;;
1784;Arvika;1784C1060;Arvika centrum-Högåsen-Degerängen;;;;
1784;Arvika;1784C1010;Dottevik-Östra Sund;;;;
1784;Arvika;1784A0010;Glava;;;;
1784;Arvika;1784A0070;Gunnarskog;;;;
1784;Arvika;1784C1040;Haga-Agneteberg-Rosendal;;;;
1784;Arvika;1784C1070;Haga-Agneteberg-Rosendal;;;;
1784;Arvika;1784C1080;Haga-Agneteberg-Rosendal;;;;
1784;Arvika;1784A0030;Jössefors-Västra Sund;;;;
1784;Arvika;1784A0060;Mangskog-Brunskog;;;;
1784;Arvika;1784C1020;Solvik-Taserud;;;;
1784;Arvika;1784C1090;Solvik-Taserud;;;;
1784;Arvika;1784A0040;Speke-Rackstad-Mötterud-Humlekil;;;;
1784;Arvika;1784A0020;Stavnäs-Högerud;;;;
1784;Arvika;1784A0050;Älgå-Ny;;;;
1882;Askersund;1882A0040;Askersund omland norr;;;;
1882;Askersund;1882A0010;Askersund omland söder;;;;
1882;Askersund;1882A0030;Askersund omland väster;;;;
1882;Askersund;1882A0020;Askersund omland öster;;;;
1882;Askersund;1882C1010;Askersund stad;;;;
1882;Askersund;1882C1020;Askersund stad;;;;
1882;Askersund;1882C1030;Askersund stad;;;;
1882;Askersund;1882B2010;Åsbro;;;;
2084;Avesta;2084C1030;Avesta norra-Avesta västra-Karlbo;;;;
2084;Avesta;2084C1060;Avesta norra-Avesta västra-Karlbo;;;;
2084;Avesta;2084C1080;Avesta norra-Avesta västra-Karlbo;;;;
2084;Avesta;2084C1090;Avesta norra-Avesta västra-Karlbo;;;;
2084;Avesta;2084A0010;Avesta omland;;;;
2084;Avesta;2084A0020;Avesta omland;;;;
2084;Avesta;2084A0030;Avesta omland;;;;
2084;Avesta;2084C1070;Avesta södra-Avesta östra-Bengtsbo;;;;
2084;Avesta;2084C1040;Avesta södra-Avesta östra-Bengtsbo;;;;
2084;Avesta;2084C1050;Avesta södra-Avesta östra-Bengtsbo;;;;
2084;Avesta;2084B2010;Horndal;;;;
2084;Avesta;2084C1010;Krylbo-Isaksbo-Mästerbo;;;;
2084;Avesta;2084C1020;Krylbo-Isaksbo-Mästerbo;;;;
1460;Bengtsfors;1460C1010;Bengtsfors centrum;;;;
1460;Bengtsfors;1460A0020;Bengtsfors norra kommundel;;;;
1460;Bengtsfors;1460A0010;Bengtsfors södra kommundel;;;;
1460;Bengtsfors;1460C1020;Bengtsfors-Sidan södra;;;;
1460;Bengtsfors;1460B3010;Billingsfors;;;;
1460;Bengtsfors;1460B2010;Dals Långed;;;;
2326;Berg;2326A0040;Hackås;;;;
2326;Berg;2326A0020;Hoverberg;;;;
2326;Berg;2326A0050;Oviken;;;;
2326;Berg;2326A0010;Rätan;;;;
2326;Berg;2326C1010;Svenstavik;;;;
2326;Berg;2326A0030;Åsarna;;;;
2403;Bjurholm;2403C1010;Bjurholms centralort;;;;
2403;Bjurholm;2403A0010;Bjurholms landsbygd;;;;
1260;Bjuv;1260A0030;Billesholm norra;;;;
1260;Bjuv;1260A0020;Billesholm södra;;;;
1260;Bjuv;1260C1040;Bjuv norra-Gunnarstorp;;;;
1260;Bjuv;1260C1010;Bjuv södra;;;;
1260;Bjuv;1260C1030;Bjuv västra;;;;
1260;Bjuv;1260C1020;Bjuv östra-Selleberga;;;;
1260;Bjuv;1260B2010;Ekeby västra;;;;
1260;Bjuv;1260A0010;Ekeby östra;;;;
2582;Boden;2582C1130;Björkelund-Svartbjörnsbyn;;;;
2582;Boden;2582C1070;Boden Central;;;;
2582;Boden;2582C1090;Boden Central;;;;
2582;Boden;2582C1100;Boden Central;;;;
2582;Boden;2582A0010;Boden sydvästra landsbygd-Bredåker;;;;
2582;Boden;2582C1020;Bodsvedjan-Lejonbacken-Bodforsen;;;;
2582;Boden;2582A0030;Bodträskfors-Harads-Sandträsk;;;;
2582;Boden;2582A0020;Buddbyn-Syden-Skogså-Gunnarsbyn;;;;
2582;Boden;2582C1050;Lundagård-Sveafältet;;;;
2582;Boden;2582C1030;Norra Svartbyn-Fagernäs-Erikslund;;;;
2582;Boden;2582C1110;Norra Svartbyn-Fagernäs-Erikslund;;;;
2582;Boden;2582C1120;Prästholmen;;;;
2582;Boden;2582C1040;Sanden-Torpgärdan;;;;
2582;Boden;2582C1060;Sanden-Torpgärdan;;;;
2582;Boden;2582B2010;Sävast-Sävastön-Gamla Sävast;;;;
2582;Boden;2582B2020;Sävast-Sävastön-Gamla Sävast;;;;
2582;Boden;2582C1010;Södra Svartbyn-Gruvberget;;;;
2582;Boden;2582C1080;Trångfors-Heden-Vittjärv-Hamptjärnmoran;;;;
1443;Bollebygd;1443C1010;Bollebygd tätort;;;;
1443;Bollebygd;1443C1020;Bollebygd tätort;;;;
1443;Bollebygd;1443A0020;Bollebygd västra;;;;
1443;Bollebygd;1443A0010;Bollebygd östra;;;;
1443;Bollebygd;1443B2010;Olsfors-Hultafors;;;;
1443;Bollebygd;1443A0030;Töllsjö;;;;
2183;Bollnäs;2183A0060;Arbrå landsbygd;;;;
2183;Bollnäs;2183B2010;Arbrå tätort;;;;
2183;Bollnäs;2183B2020;Arbrå tätort;;;;
2183;Bollnäs;2183C1080;Björktjära-Framnäs;;;;
2183;Bollnäs;2183C1030;Bollnäs centrum;;;;
2183;Bollnäs;2183A0030;Bollnäs landsbygd;;;;
2183;Bollnäs;2183A0040;Bollnäs landsbygd;;;;
2183;Bollnäs;2183A0010;Bollnäs landsbygd;;;;
2183;Bollnäs;2183C1050;Gärdet;;;;
2183;Bollnäs;2183C1060;Höglunda-Brånan;;;;
2183;Bollnäs;2183A0020;Kilafors landsbygd;;;;
2183;Bollnäs;2183B3010;Kilafors-Sibo tätort;;;;
2183;Bollnäs;2183C1070;Ren;;;;
2183;Bollnäs;2183C1040;Ren;;;;
2183;Bollnäs;2183A0050;Rengsjö kommundel;;;;
2183;Bollnäs;2183C1010;Säversta-Granberg-Hertsjö;;;;
2183;Bollnäs;2183C1020;Sävsberg-Heden;;;;
0885;Borgholm;0885A0030;Borgholm norra kommundelen;;;;
0885;Borgholm;0885A0040;Borgholm norra kommundelen;;;;
0885;Borgholm;0885A0010;Borgholm södra kommundelen;;;;
0885;Borgholm;0885A0020;Borgholm södra kommundelen;;;;
0885;Borgholm;0885C1010;Borgholm-Köpingsvik;;;;
0885;Borgholm;0885C1020;Borgholm-Köpingsvik;;;;
0885;Borgholm;0885C1030;Borgholm-Köpingsvik;;;;
2081;Borlänge;2081C1180;Bulllermyren;;;;
2081;Borlänge;2081C1160;Forssa;;;;
2081;Borlänge;2081C1020;Gylle-Åselby-Färjegårdarna-Hytting;;;;
2081;Borlänge;2081C1030;Gylle-Åselby-Färjegårdarna-Hytting;;;;
2081;Borlänge;2081C1050;Gylle-Åselby-Färjegårdarna-Hytting;;;;
2081;Borlänge;2081C1070;Jakobsgårdarna-Paradiset-Nygårdsdalen;;;;
2081;Borlänge;2081C1120;Jakobsgårdarna-Paradiset-Nygårdsdalen;;;;
2081;Borlänge;2081C1130;Kupolen-Norra Backa-Hagalund-Ringen;;;;
2081;Borlänge;2081C1100;Kupolen-Norra Backa-Hagalund-Ringen;;;;
2081;Borlänge;2081C1190;Lergärdet-Bergslagsbyn;;;;
2081;Borlänge;2081C1230;Lergärdet-Bergslagsbyn;;;;
2081;Borlänge;2081C1210;Medväga-Hönsarvet-Domnarvet-Barkagärdet-Islingby-Nyckelby;;;;
2081;Borlänge;2081C1110;Medväga-Hönsarvet-Domnarvet-Barkagärdet-Islingby-Nyckelby;;;;
2081;Borlänge;2081C1090;Mjälga-Centrum;;;;
2081;Borlänge;2081C1220;Repbäcken-Amsberg-Kvarnsveden;;;;
2081;Borlänge;2081C1200;Repbäcken-Amsberg-Kvarnsveden;;;;
2081;Borlänge;2081C1010;Romme;;;;
2081;Borlänge;2081C1040;Skräddarbacken-Mats Knuts-Nygårdarna;;;;
2081;Borlänge;2081C1060;Skräddarbacken-Mats Knuts-Nygårdarna;;;;
2081;Borlänge;2081C1150;Södra Bullermyren-Norra Hagalund;;;;
2081;Borlänge;2081C1140;Tjärna Ängar;;;;
2081;Borlänge;2081A0010;Tolsbo-Strandbo-Sörbo-Repbäcken-Idkerberget-Halvarsgårdarna;;;;
2081;Borlänge;2081A0020;Tolsbo-Strandbo-Sörbo-Repbäcken-Idkerberget-Halvarsgårdarna;;;;
2081;Borlänge;2081A0030;Torsång-Sunnanö-Uvberget-Fågelmyra-Oberget-Ornäs;;;;
2081;Borlänge;2081B2010;Torsång-Sunnanö-Uvberget-Fågelmyra-Oberget-Ornäs;;;;
2081;Borlänge;2081C1080;Östermalm;;;;
2081;Borlänge;2081C1170;Övre Tjärna;;;;
1490;Borås;1490C1380;Bergdalen-Norrmalm väst;;;;
1490;Borås;1490C1390;Bergdalen-Norrmalm väst;;;;
1490;Borås;1490C1360;Bergdalen-Norrmalm väst;;;;
1490;Borås;1490A0100;Borgstena Tämta;;;;
1490;Borås;1490C1100;Borås centrum sydöst;;;;
1490;Borås;1490C1130;Borås centrum sydöst;;;;
1490;Borås;1490C1190;Borås centrum sydöst;;;;
1490;Borås;1490C1200;Borås centrum sydöst;;;;
1490;Borås;1490A0080;Bredared;;;;
1490;Borås;1490C1400;Brämhult;;;;
1490;Borås;1490C1440;Brämhult;;;;
1490;Borås;1490C1250;Byttorp-Parkstaden;;;;
1490;Borås;1490C1260;Byttorp-Parkstaden;;;;
1490;Borås;1490B3010;Dalsjöfors;;;;
1490;Borås;1490B3020;Dalsjöfors;;;;
1490;Borås;1490B3030;Dalsjöfors;;;;
1490;Borås;1490C1010;Dammsvedjan;;;;
1490;Borås;1490C1450;Ekås-Hestra;;;;
1490;Borås;1490C1430;Ekås-Hestra;;;;
1490;Borås;1490C1580;Fristad centrum;;;;
1490;Borås;1490C1560;Fristad centrum;;;;
1490;Borås;1490A0090;Fristad omland;;;;
1490;Borås;1490C1570;Fristad-Asklanda;;;;
1490;Borås;1490C1540;Frufällan-Sparsör väst;;;;
1490;Borås;1490B4020;Gånghester;;;;
1490;Borås;1490C1020;Göta centrum-Kristineberg väst;;;;
1490;Borås;1490C1110;Göta centrum-Kristineberg väst;;;;
1490;Borås;1490A0070;Hedared-Sandhult-Backabo;;;;
1490;Borås;1490C1210;Hulta centrum-Sörmarken;;;;
1490;Borås;1490C1180;Hulta centrum-Sörmarken;;;;
1490;Borås;1490C1090;Hulta syd-Trandared norr-Brotorp;;;;
1490;Borås;1490C1030;Hulta syd-Trandared norr-Brotorp;;;;
1490;Borås;1490C1140;Hulta syd-Trandared norr-Brotorp;;;;
1490;Borås;1490C1290;Hässleholmen väst;;;;
1490;Borås;1490C1370;Hässleholmen väst;;;;
1490;Borås;1490C1420;Hässleholmen öst norr;;;;
1490;Borås;1490C1350;Hässleholmen öst norr;;;;
1490;Borås;1490B2010;Kinnarumma-Fagerhult-Viskafors öst;;;;
1490;Borås;1490C1050;Kristineberg öst-Hedvigsborg;;;;
1490;Borås;1490C1320;Lugnet;;;;
1490;Borås;1490C1330;Lugnet;;;;
1490;Borås;1490B4010;Målsryd-Aplared-Dannike;;;;
1490;Borås;1490A0020;Målsryd-Aplared-Dannike;;;;
1490;Borås;1490A0040;Målsryd-Aplared-Dannike;;;;
1490;Borås;1490C1340;Norrby;;;;
1490;Borås;1490C1300;Norrby;;;;
1490;Borås;1490C1410;Norrmalm norr;;;;
1490;Borås;1490C1460;Norrmalm norr;;;;
1490;Borås;1490C1070;Regementet;;;;
1490;Borås;1490C1520;Ryda-Alideberg-Knalleland;;;;
1490;Borås;1490B2030;Rydboholm-Viskafors centrum;;;;
1490;Borås;1490B2040;Rydboholm-Viskafors centrum;;;;
1490;Borås;1490A0060;Rångedala;;;;
1490;Borås;1490C1280;Salängen;;;;
1490;Borås;1490C1160;Sandared;;;;
1490;Borås;1490C1170;Sandared;;;;
1490;Borås;1490C1480;Sjöbo centrum;;;;
1490;Borås;1490C1490;Sjöbo centrum;;;;
1490;Borås;1490C1500;Sjöbo norra;;;;
1490;Borås;1490C1510;Sjöbo norra;;;;
1490;Borås;1490C1470;Sjöbo-Johannelund;;;;
1490;Borås;1490C1310;Sjömarken-Lundaskog;;;;
1490;Borås;1490C1150;Sjömarken-Lundaskog;;;;
1490;Borås;1490C1550;Sparsör öst;;;;
1490;Borås;1490C1120;Stadskärnan-Druvefors;;;;
1490;Borås;1490C1220;Stadskärnan-Druvefors;;;;
1490;Borås;1490B2020;Svaneholm;;;;
1490;Borås;1490C1230;Svensgärde;;;;
1490;Borås;1490C1530;Södra Öresjö;;;;
1490;Borås;1490C1080;Trandared centrum;;;;
1490;Borås;1490C1060;Trandared centrum;;;;
1490;Borås;1490C1040;Viared-Ramnaslätt-Tullen;;;;
1490;Borås;1490C1240;Viared-Ramnaslätt-Tullen;;;;
1490;Borås;1490A0030;Viskafors västra omland;;;;
1490;Borås;1490A0010;Viskafors östra omland;;;;
1490;Borås;1490A0050;Äspered;;;;
1490;Borås;1490C1270;Östermalm;;;;
0127;Botkyrka;0127C1340;Albyberget;;;;
0127;Botkyrka;0127C1350;Albyberget;;;;
0127;Botkyrka;0127C1270;Albydalen;;;;
0127;Botkyrka;0127C1280;Albydalen;;;;
0127;Botkyrka;0127C1290;Albydalen;;;;
0127;Botkyrka;0127C1300;Albydalen;;;;
0127;Botkyrka;0127C1310;Albydalen;;;;
0127;Botkyrka;0127C1120;Brantbrink-Tullingeskog-Rörmossen;;;;
0127;Botkyrka;0127C1130;Brantbrink-Tullingeskog-Rörmossen;;;;
0127;Botkyrka;0127C1140;Brantbrink-Tullingeskog-Rörmossen;;;;
0127;Botkyrka;0127A0020;Eriksberg-Sturehov;;;;
0127;Botkyrka;0127C1320;Eriksberg-Sturehov;;;;
0127;Botkyrka;0127C1330;Fittja;;;;
0127;Botkyrka;0127C1420;Fittja;;;;
0127;Botkyrka;0127C1470;Fittja;;;;
0127;Botkyrka;0127C1440;Fittja;;;;
0127;Botkyrka;0127A0010;Grödinge;;;;
0127;Botkyrka;0127C1430;Hallunda;;;;
0127;Botkyrka;0127C1400;Hallunda;;;;
0127;Botkyrka;0127C1370;Hallunda;;;;
0127;Botkyrka;0127C1030;Kassmyra-Skäcklinge;;;;
0127;Botkyrka;0127C1040;Kassmyra-Skäcklinge;;;;
0127;Botkyrka;0127C1150;Lanthem-Tullinge centrum-Tullingeberg;;;;
0127;Botkyrka;0127C1190;Lanthem-Tullinge centrum-Tullingeberg;;;;
0127;Botkyrka;0127C1210;Lanthem-Tullinge centrum-Tullingeberg;;;;
0127;Botkyrka;0127C1380;Norsborg;;;;
0127;Botkyrka;0127C1390;Norsborg;;;;
0127;Botkyrka;0127C1360;Norsborg;;;;
0127;Botkyrka;0127C1410;Norsborg;;;;
0127;Botkyrka;0127C1050;Riksten;;;;
0127;Botkyrka;0127C1480;Slagsta;;;;
0127;Botkyrka;0127C1450;Slagsta;;;;
0127;Botkyrka;0127C1460;Slagsta;;;;
0127;Botkyrka;0127C1080;Storvreten;;;;
0127;Botkyrka;0127C1090;Storvreten;;;;
0127;Botkyrka;0127C1110;Storvreten;;;;
0127;Botkyrka;0127C1230;Tullinge parkhem;;;;
0127;Botkyrka;0127C1250;Tullinge parkhem;;;;
0127;Botkyrka;0127C1260;Tullinge villastad;;;;
0127;Botkyrka;0127C1240;Tullinge villastad;;;;
0127;Botkyrka;0127C1180;Tumba centrum-Segersjö-Sandstugan;;;;
0127;Botkyrka;0127C1100;Tumba centrum-Segersjö-Sandstugan;;;;
0127;Botkyrka;0127C1160;Tuna ;;;;
0127;Botkyrka;0127C1060;Uttran-Broäng;;;;
0127;Botkyrka;0127C1070;Uttran-Broäng;;;;
0127;Botkyrka;0127C1170;Vretarna-Hamra;;;;
0127;Botkyrka;0127C1220;Vretarna-Hamra;;;;
0127;Botkyrka;0127C1200;Vretarna-Hamra;;;;
0127;Botkyrka;0127C1010;Vårsta;;;;
0127;Botkyrka;0127C1020;Vårsta;;;;
0560;Boxholm;0560A0010;Boxholm omnejd;;;;
0560;Boxholm;0560C1010;Boxholm västra;;;;
0560;Boxholm;0560C1020;Boxholm östra;;;;
1272;Bromölla;1272A0010;Bromölla omland;;;;
1272;Bromölla;1272C1030;Bromölla öster-Dalafuret;;;;
1272;Bromölla;1272C1020;Bromölla östra centrum-Åbylyckorna;;;;
1272;Bromölla;1272C1010;Gualöv-Bromölla skogen-västra centrum Bromölla;;;;
1272;Bromölla;1272C1040;Ivetofta-Rökebacken;;;;
1272;Bromölla;1272B3010;Nymölla-Edenryd-Valje;;;;
1272;Bromölla;1272B2010;Näsum-Västanå;;;;
2305;Bräcke;2305A0010;Bodsjö-Nyhem-Bräcke;;;;
2305;Bräcke;2305C1010;Bräcke tätort;;;;
2305;Bräcke;2305A0030;Hällesjö-Håsjö;;;;
2305;Bräcke;2305A0020;Revsund;;;;
2305;Bräcke;2305A0040;Sundsjö;;;;
1231;Burlöv;1231C1040;Burlöv södra;;;;
1231;Burlöv;1231C1100;Norra Åkarp;;;;
1231;Burlöv;1231C1030;Svenshög-Elisetorp;;;;
1231;Burlöv;1231C1050;Svenshög-Elisetorp;;;;
1231;Burlöv;1231C1010;Svenshög-Elisetorp;;;;
1231;Burlöv;1231C1020;Södra Arlöv;;;;
1231;Burlöv;1231C1080;Södra Åkarp;;;;
1231;Burlöv;1231C1090;Södra Åkarp;;;;
1231;Burlöv;1231C1060;Tågarp;;;;
1231;Burlöv;1231C1070;Tågarp;;;;
1278;Båstad;1278A0010;Båstad landsbygd;;;;
1278;Båstad;1278C1010;Båstad västra;;;;
1278;Båstad;1278B2030;Grevie;;;;
1278;Båstad;1278C1020;Malen-Båstad;;;;
1278;Båstad;1278B3010;Torekov;;;;
1278;Båstad;1278B2020;Västra Förslöv;;;;
1278;Båstad;1278A0020;Västra Karup-Hov;;;;
1278;Båstad;1278B2010;Östra Förslöv;;;;
1278;Båstad;1278C1030;Östra Karup-Hemmeslöv;;;;
1438;Dals-Ed;1438C1020;Dals-Ed-Ed;;;;
1438;Dals-Ed;1438A0010;Dals-Eds omland;;;;
1438;Dals-Ed;1438C1010;Dals-Ed-Äng;;;;
0162;Danderyd;0162C1070;Danderyd centrala västra;;;;
0162;Danderyd;0162C1090;Danderyd centrala västra;;;;
0162;Danderyd;0162C1140;Danderyd centrala västra;;;;
0162;Danderyd;0162C1060;Danderyd centrala östra;;;;
0162;Danderyd;0162C1040;Danderyd centrala östra;;;;
0162;Danderyd;0162C1130;Danderyd västra;;;;
0162;Danderyd;0162C1110;Danderyd västra;;;;
0162;Danderyd;0162C1170;Danderyd västra;;;;
0162;Danderyd;0162C1100;Djursholm norra;;;;
0162;Danderyd;0162C1150;Djursholm norra;;;;
0162;Danderyd;0162C1160;Djursholm norra;;;;
0162;Danderyd;0162C1120;Djursholm södra;;;;
0162;Danderyd;0162C1080;Djursholm södra;;;;
0162;Danderyd;0162C1030;Djursholm södra;;;;
0162;Danderyd;0162C1180;Enebyberg;;;;
0162;Danderyd;0162C1190;Enebyberg;;;;
0162;Danderyd;0162C1200;Enebyberg;;;;
0162;Danderyd;0162C1050;Stocksund;;;;
0162;Danderyd;0162C1010;Stocksund;;;;
0162;Danderyd;0162C1020;Stocksund;;;;
1862;Degerfors;1862C1010;Degerfors centrum-Bruket;;;;
1862;Degerfors;1862C1020;Degerfors centrum-Bruket;;;;
1862;Degerfors;1862C1030;Degerfors centrum-Bruket;;;;
1862;Degerfors;1862C1040;Strömtorp-Degernäs;;;;
1862;Degerfors;1862C1050;Strömtorp-Degernäs;;;;
1862;Degerfors;1862A0010;Svartå-Solberga-Knutsbol;;;;
1862;Degerfors;1862A0020;Åtorp-Högberg-Gräsmossen;;;;
2425;Dorotea;2425A0010;Dorotea omland;;;;
2425;Dorotea;2425C1010;Dorotea tätort;;;;
1730;Eda;1730A0030;Charlottenberg omland;;;;
1730;Eda;1730C1010;Charlottenberg tätort;;;;
1730;Eda;1730A0010;Koppom tätort-Koppom omland;;;;
1730;Eda;1730A0020;Köla-Skillingmark;;;;
1730;Eda;1730B2010;Åmotfors tätort;;;;
0125;Ekerö;0125A0020;Adelsö-Munsö-Västra Ekerön;;;;
0125;Ekerö;0125A0030;Adelsö-Munsö-Västra Ekerön;;;;
0125;Ekerö;0125C1030;Ekebyhov-Träkvista-Väsby;;;;
0125;Ekerö;0125C1060;Ekebyhov-Träkvista-Väsby;;;;
0125;Ekerö;0125C1040;Ekerö centrum-Östra Ekerön;;;;
0125;Ekerö;0125A0040;Färingsö omland;;;;
0125;Ekerö;0125B3010;Kungsberga-Färentuna-Hilleshög;;;;
0125;Ekerö;0125B3020;Kungsberga-Färentuna-Hilleshög;;;;
0125;Ekerö;0125A0010;Lovön;;;;
0125;Ekerö;0125B2020;Stenhamra;;;;
0125;Ekerö;0125B2030;Stenhamra;;;;
0125;Ekerö;0125C1050;Sundby-Ekerö sommarstad;;;;
0125;Ekerö;0125B2010;Södra Färingsö;;;;
0125;Ekerö;0125C1010;Västra Sandudden-Lundhagen-Skärvik;;;;
0125;Ekerö;0125C1020;Västra Sandudden-Lundhagen-Skärvik;;;;
0125;Ekerö;0125C1070;Älvnäs-Brunna-Närlunda;;;;
0125;Ekerö;0125C1080;Älvnäs-Brunna-Närlunda;;;;
0686;Eksjö;0686C1050;Eksjö norra;;;;
0686;Eksjö;0686C1060;Eksjö norra;;;;
0686;Eksjö;0686C1010;Eksjö södra;;;;
0686;Eksjö;0686C1020;Eksjö södra;;;;
0686;Eksjö;0686C1040;Eksjö västra;;;;
0686;Eksjö;0686A0020;Eksjö västra landsbygd;;;;
0686;Eksjö;0686A0030;Eksjö västra landsbygd;;;;
0686;Eksjö;0686C1030;Eksjö östra;;;;
0686;Eksjö;0686A0010;Eksjö östra landsbygd;;;;
0686;Eksjö;0686B2010;Mariannelund;;;;
0862;Emmaboda;0862A0030;Algutsboda-Algutsboda omland;;;;
0862;Emmaboda;0862C1010;Emmaboda norra;;;;
0862;Emmaboda;0862C1020;Emmaboda södra;;;;
0862;Emmaboda;0862C1030;Emmaboda-Lindås;;;;
0862;Emmaboda;0862A0020;Långasjö-Långasjö omland;;;;
0862;Emmaboda;0862A0010;Vissefjärda-Vissefjärda omland;;;;
0381;Enköping;0381C1010;Bergvreten-Gånsta-Åkersberg;;;;
0381;Enköping;0381C1040;Bergvreten-Gånsta-Åkersberg;;;;
0381;Enköping;0381B3010;Bredsand-Haga;;;;
0381;Enköping;0381C1030;Enköping centrum-Sankt Ilian;;;;
0381;Enköping;0381C1060;Enköping centrum-Sankt Ilian;;;;
0381;Enköping;0381C1090;Enköping centrum-Sankt Ilian;;;;
0381;Enköping;0381C1080;Fanna-Korsängen-Älvdansen;;;;
0381;Enköping;0381C1050;Fanna-Korsängen-Älvdansen;;;;
0381;Enköping;0381A0080;Fjärdhundra;;;;
0381;Enköping;0381A0090;Fjärdhundra;;;;
0381;Enköping;0381C1070;Galgvreten-Västerleden;;;;
0381;Enköping;0381C1100;Galgvreten-Västerleden;;;;
0381;Enköping;0381C1110;Galgvreten-Västerleden;;;;
0381;Enköping;0381A0070;Lagunda;;;;
0381;Enköping;0381B2010;Lagunda;;;;
0381;Enköping;0381C1020;Munksundet-Gröngarn;;;;
0381;Enköping;0381C1120;Romberga;;;;
0381;Enköping;0381B4010;Trögd;;;;
0381;Enköping;0381A0050;Trögd;;;;
0381;Enköping;0381A0010;Trögd;;;;
