deso,total_households,,,"Antal hushåll efter år, region och hushållstyp"
0163C1060,707,,,
0163C1070,746,,,
0163C1080,436,,,
0163C1090,609,,,
0163C1100,785,,,
0163C1110,617,,,
0163C1120,738,,,
0163C1130,447,,,
0163C1140,934,,,
0163C1150,1001,,,
0163C1160,919,,,
0163C1170,953,,,
0163C1180,765,,,
0163C1190,643,,,
0163C1200,683,,,
0163C1210,945,,,
0163C1220,1145,,,
0163C1230,681,,,
0163C1240,1152,,,
0163C1250,813,,,
0163C1260,880,,,
0163C1270,1117,,,
0163C1280,602,,,
0163C1290,969,,,
0163C1300,758,,,
0163C1310,1253,,,
0163C1320,598,,,
0163C1330,665,,,
0163C1340,713,,,
0163C1350,812,,,
0163C1360,641,,,
0163C1370,670,,,
0163C1380,644,,,
0163C1390,403,,,
0163C1400,575,,,
0180C1010,885,,,
0180C1020,892,,,
0180C1030,879,,,
0180C1040,1126,,,
0180C1050,1281,,,
0180C1060,1023,,,
0180C1070,665,,,
0180C1080,722,,,
0180C1090,669,,,
0180C1100,1426,,,
0180C1110,820,,,
0180C1120,622,,,
0180C1130,759,,,
0180C1140,674,,,
0180C1150,508,,,
0180C1160,703,,,
0180C1170,1125,,,
0180C1180,937,,,
0180C1190,837,,,
0180C1200,651,,,
0180C1210,895,,,
0180C1220,1316,,,
0180C1230,877,,,
0180C1240,1459,,,
0180C1250,1274,,,
0180C1260,910,,,
0180C1270,713,,,
0180C1280,817,,,
0180C1290,1137,,,
0180C1300,603,,,
0180C1310,857,,,
0180C1320,1178,,,
0180C1330,787,,,
0180C1340,787,,,
0180C1350,973,,,
0180C1360,743,,,
0180C1370,1144,,,
0180C1380,809,,,
0180C1390,1027,,,
0180C1400,949,,,
0180C1410,1195,,,
0180C1420,445,,,
0180C1430,496,,,
0180C1440,886,,,
0180C1450,1272,,,
0180C1460,1065,,,
0180C1470,1038,,,
0180C1480,826,,,
0180C1490,611,,,
0180C1500,859,,,
0180C1510,816,,,
0180C1520,790,,,
0180C1530,1047,,,
0180C1540,836,,,
0180C1550,632,,,
0180C1560,799,,,
0180C1570,927,,,
0180C1580,848,,,
0180C1590,1106,,,
0180C1600,748,,,
0180C1610,858,,,
0180C1620,476,,,
0180C1630,640,,,
0180C1640,705,,,
0180C1650,663,,,
0180C1660,587,,,
0180C1670,580,,,
0180C1680,675,,,
0180C1690,524,,,
0180C1700,641,,,
0180C1710,1112,,,
0180C1720,656,,,
0180C1730,661,,,
0180C1740,660,,,
0180C1750,765,,,
0180C1760,674,,,
0180C1770,742,,,
0180C1780,733,,,
0180C1790,833,,,
0180C1800,757,,,
0180C1810,520,,,
0180C1820,1023,,,
0180C1830,670,,,
0180C1840,857,,,
0180C1850,778,,,
0180C1860,857,,,
0180C1870,1779,,,
0180C1880,893,,,
0180C1890,671,,,
0180C1900,841,,,
0180C1910,742,,,
0180C1920,745,,,
0180C1930,1186,,,
0180C1940,1124,,,
0180C1950,816,,,
0180C1960,574,,,
0180C1970,497,,,
0180C1980,1009,,,
0180C1990,592,,,
0180C2000,719,,,
0180C2010,928,,,
0180C2020,670,,,
0180C2030,1177,,,
0180C2040,634,,,
0180C2050,1042,,,
0180C2060,901,,,
0180C2070,907,,,
0180C2080,965,,,
0180C2090,980,,,
0180C2100,701,,,
0180C2110,1524,,,
0180C2120,740,,,
0180C2130,988,,,
0180C2140,962,,,
0180C2150,987,,,
0180C2160,684,,,
0180C2170,582,,,
0180C2180,1062,,,
0180C2190,613,,,
0180C2200,623,,,
0180C2210,527,,,
0180C2220,663,,,
0180C2230,721,,,
0180C2240,997,,,
0180C2250,1038,,,
0180C2260,602,,,
0180C2270,954,,,
0180C2280,1078,,,
0180C2290,902,,,
0180C2300,784,,,
0180C2310,1162,,,
0180C2320,987,,,
0180C2330,1008,,,
0180C2340,838,,,
0180C2350,922,,,
0180C2360,1052,,,
0180C2370,848,,,
0180C2380,674,,,
0180C2390,1104,,,
0180C2400,818,,,
0180C2410,912,,,
0180C2420,1020,,,
0180C2430,1402,,,
0180C2440,1161,,,
0180C2450,1027,,,
0180C2460,1269,,,
0180C2470,1089,,,
0180C2480,914,,,
0180C2490,826,,,
0180C2500,778,,,
0180C2510,1148,,,
0180C2520,965,,,
0180C2530,1202,,,
0180C2540,1217,,,
0180C2550,804,,,
0180C2560,1002,,,
0180C2570,1146,,,
0180C2580,683,,,
0180C2590,1059,,,
0180C2600,544,,,
0180C2610,1081,,,
0180C2620,1593,,,
0180C2630,846,,,
0180C2640,677,,,
0180C2650,987,,,
0180C2660,867,,,
0180C2670,969,,,
0180C2680,1076,,,
0180C2690,991,,,
0180C2700,1142,,,
0180C2710,990,,,
0180C2720,958,,,
0180C2730,1127,,,
0180C2740,980,,,
0180C2750,899,,,
0180C2760,715,,,
0180C2770,940,,,
0180C2780,1420,,,
0180C2790,875,,,
0180C2800,991,,,
0180C2810,895,,,
0180C2820,724,,,
0180C2830,678,,,
0180C2840,943,,,
0180C2850,806,,,
0180C2860,1028,,,
0180C2870,671,,,
0180C2880,1238,,,
0180C2890,847,,,
0180C2900,843,,,
0180C2910,1116,,,
0180C2920,795,,,
0180C2930,1008,,,
0180C2940,995,,,
0180C2950,2148,,,
0180C2960,934,,,
0180C2970,948,,,
0180C2980,581,,,
0180C2990,563,,,
0180C3000,895,,,
0180C3010,684,,,
0180C3020,795,,,
0180C3030,700,,,
0180C3040,941,,,
0180C3050,851,,,
0180C3060,616,,,
0180C3070,810,,,
0180C3080,667,,,
0180C3090,628,,,
0180C3100,1136,,,
0180C3110,937,,,
0180C3120,720,,,
0180C3130,840,,,
0180C3140,1066,,,
0180C3150,879,,,
0180C3160,963,,,
0180C3170,916,,,
0180C3180,1104,,,
0180C3190,994,,,
0180C3200,1000,,,
0180C3210,733,,,
0180C3220,798,,,
0180C3230,840,,,
0180C3240,838,,,
0180C3250,1075,,,
0180C3260,1220,,,
0180C3270,818,,,
0180C3280,613,,,
0180C3290,938,,,
0180C3300,930,,,
0180C3310,774,,,
0180C3320,1238,,,
0180C3330,1257,,,
0180C3340,1013,,,
0180C3350,898,,,
0180C3360,1106,,,
0180C3370,970,,,
0180C3380,769,,,
0180C3390,956,,,
0180C3400,1112,,,
0180C3410,514,,,
0180C3420,657,,,
0180C3430,847,,,
0180C3440,866,,,
0180C3450,917,,,
0180C3460,871,,,
0180C3470,964,,,
0180C3480,1369,,,
0180C3490,674,,,
0180C3500,855,,,
0180C3510,903,,,
0180C3520,978,,,
0180C3530,757,,,
0180C3540,860,,,
0180C3550,882,,,
0180C3560,728,,,
0180C3570,776,,,
0180C3580,1058,,,
0180C3590,770,,,
0180C3600,815,,,
0180C3610,504,,,
0180C3620,1154,,,
0180C3630,982,,,
0180C3640,805,,,
0180C3650,998,,,
0180C3660,699,,,
0180C3670,847,,,
0180C3680,728,,,
0180C3690,910,,,
0180C3700,758,,,
0180C3710,653,,,
0180C3720,448,,,
0180C3730,698,,,
0180C3740,804,,,
0180C3750,927,,,
0180C3760,476,,,
0180C3770,716,,,
0180C3780,602,,,
0180C3790,871,,,
0180C3800,704,,,
0180C3810,822,,,
0180C3820,871,,,
0180C3830,875,,,
0180C3840,579,,,
0180C3850,593,,,
0180C3860,910,,,
0180C3870,793,,,
0180C3880,834,,,
0180C3890,1029,,,
0180C3900,804,,,
0180C3910,725,,,
0180C3920,388,,,
0180C3930,664,,,
0180C3940,851,,,
0180C3950,860,,,
0180C3960,736,,,
0180C3970,864,,,
0180C3980,896,,,
0180C3990,872,,,
0180C4000,765,,,
0180C4010,893,,,
0180C4020,870,,,
0180C4030,866,,,
0180C4040,1197,,,
0180C4050,958,,,
0180C4060,1201,,,
0180C4070,910,,,
0180C4080,968,,,
0180C4090,913,,,
0180C4100,683,,,
0180C4110,648,,,
0180C4120,734,,,
0180C4130,821,,,
0180C4140,1005,,,
0180C4150,846,,,
0180C4160,807,,,
0180C4170,995,,,
0180C4180,1041,,,
0180C4190,894,,,
0180C4200,567,,,
0180C4210,837,,,
0180C4220,1016,,,
0180C4230,924,,,
0180C4240,1004,,,
0180C4250,987,,,
0180C4260,1108,,,
0180C4270,529,,,
0180C4280,1155,,,
0180C4290,890,,,
0180C4300,1080,,,
0180C4310,845,,,
0180C4320,830,,,
0180C4330,895,,,
0180C4340,792,,,
0180C4350,889,,,
0180C4360,1089,,,
0180C4370,740,,,
0180C4380,940,,,
0180C4390,515,,,
0180C4400,776,,,
0180C4410,1045,,,
0180C4420,884,,,
0180C4430,744,,,
0180C4440,828,,,
0180C4450,906,,,
0180C4460,1270,,,
0180C4470,1215,,,
0180C4480,711,,,
0180C4490,1041,,,
0180C4500,739,,,
0180C4510,542,,,
0180C4520,939,,,
0180C4530,1695,,,
0180C4540,705,,,
0180C4550,535,,,
0180C4560,934,,,
0180C4570,540,,,
0180C4580,918,,,
0180C4590,933,,,
0180C4600,1022,,,
0180C4610,1087,,,
0180C4620,843,,,
0180C4630,1011,,,
0180C4640,914,,,
0180C4650,713,,,
0180C4660,857,,,
0180C4670,869,,,
0180C4680,597,,,
0180C4690,676,,,
0180C4700,1340,,,
0180C4710,1146,,,
0180C4720,849,,,
0180C4730,842,,,
0180C4740,812,,,
0180C4750,718,,,
0180C4760,609,,,
0180C4770,937,,,
0180C4780,880,,,
0180C4790,870,,,
0180C4800,740,,,
0180C4810,617,,,
0180C4820,882,,,
0180C4830,839,,,
0180C4840,868,,,
0180C4850,776,,,
0180C4860,981,,,
0180C4870,811,,,
0180C4880,704,,,
0180C4890,659,,,
0180C4900,801,,,
0180C4910,960,,,
0180C4920,854,,,
0180C4930,1143,,,
0180C4940,1148,,,
0180C4950,877,,,
0180C4960,828,,,
0180C4970,895,,,
0180C4980,638,,,
0180C4990,834,,,
0180C5000,892,,,
0180C5010,824,,,
0180C5020,1039,,,
0180C5030,1075,,,
0180C5040,1042,,,
0180C5050,1020,,,
0180C5060,1105,,,
0180C5070,764,,,
0180C5080,1089,,,
0180C5090,991,,,
0180C5100,924,,,
0180C5110,875,,,
0180C5120,831,,,
0180C5130,653,,,
0180C5140,730,,,
0180C5150,596,,,
0180C5160,810,,,
0180C5170,767,,,
0180C5180,725,,,
0180C5190,700,,,
0180C5200,768,,,
0180C5210,1197,,,
0180C5220,1141,,,
0180C5230,1024,,,
0180C5240,613,,,
0180C5250,1033,,,
0180C5260,2425,,,
0180C5270,949,,,
0180C5280,701,,,
0180C5290,992,,,
0180C5300,1066,,,
0180C5310,1121,,,
0180C5320,953,,,
0180C5330,1237,,,
0180C5340,660,,,
0180C5350,1095,,,
0180C5360,875,,,
0180C5370,910,,,
0180C5380,1075,,,
0180C5390,896,,,
0180C5400,517,,,
0180C5410,822,,,
0180C5420,1541,,,
0180C5430,1818,,,
0180C5440,845,,,
0180C5450,1159,,,
0180C5460,357,,,
0180C5470,1018,,,
0180C5480,399,,,
0180C5490,1675,,,
0180C5500,810,,,
0180C5510,801,,,
0180C5520,598,,,
0180C5530,1230,,,
0180C5540,1100,,,
0180C5550,601,,,
0180C5560,309,,,
0180C5570,893,,,
0180C5580,1025,,,
0180C5590,892,,,
0180C5600,922,,,
0180C5610,731,,,
0180C5620,906,,,
0180C5630,754,,,
0180C5640,412,,,
0180C5650,1740,,,
0180C5660,1196,,,
0180C5670,998,,,
0180C5680,1121,,,
0180C5690,1789,,,
0180C5700,814,,,
0180C5710,951,,,
0180C5720,805,,,
0180C5730,1042,,,
0180C5740,290,,,
0180C5750,1317,,,
0180C5760,879,,,
0180C5770,1239,,,
0180C5780,853,,,
0180C5790,863,,,
0180C5800,680,,,
0180C5810,922,,,
0180C5820,834,,,
0180C5830,727,,,
0180C5840,501,,,
0180C5850,783,,,
0180C5860,1036,,,
0180C5870,583,,,
0180C5880,713,,,
0180C5890,643,,,
0180C5900,1536,,,
0180C5910,950,,,
0180C5920,621,,,
0180C5930,573,,,
0180C5940,448,,,
0180C5950,410,,,
0180C5960,653,,,
0180C5970,686,,,
0180C5980,674,,,
0180C5990,714,,,
0180C6000,823,,,
0180C6010,773,,,
0180C6020,756,,,
0180C6030,693,,,
0180C6040,667,,,
0180C6050,711,,,
0180C6060,937,,,
0180C6070,694,,,
0180C6080,524,,,
0180C6090,700,,,
0180C6100,527,,,
0180C6110,634,,,
0180C6120,636,,,
0180C6130,944,,,
0180C6140,604,,,
0180C6150,1216,,,
0180C6160,566,,,
0180C6170,657,,,
0180C6180,697,,,
0180C6190,757,,,
0180C6200,639,,,
0180C6210,770,,,
0180C6220,713,,,
0180C6230,885,,,
0180C6240,852,,,
0180C6250,621,,,
0180C6260,663,,,
0180C6270,663,,,
0180C6280,794,,,
0180C6290,735,,,
0180C6300,871,,,
0180C6310,686,,,
0180C6320,891,,,
0180C6330,1150,,,
0180C6340,668,,,
0180C6350,949,,,
0180C6360,740,,,
0180C6370,596,,,
0180C6380,907,,,
0180C6390,992,,,
0180C6400,885,,,
0180C6410,664,,,
0180C6420,938,,,
0180C6430,834,,,
0180C6440,966,,,
0181A0010,541,,,
0181A0020,724,,,
0181A0030,1036,,,
0181A0040,606,,,
0181A0050,447,,,
0181A0060,646,,,
0181B2010,1036,,,
0181B2020,619,,,
0181B2030,1312,,,
0181B2040,607,,,
0181B4010,690,,,
0181B5010,499,,,
0181C1010,845,,,
0181C1020,903,,,
0181C1030,688,,,
0181C1040,1179,,,
0181C1050,714,,,
0181C1060,744,,,
0181C1070,843,,,
0181C1080,688,,,
0181C1090,800,,,
0181C1100,940,,,
0181C1110,815,,,
0181C1120,497,,,
0181C1130,1029,,,
0181C1140,835,,,
0181C1150,846,,,
0181C1160,1162,,,
0181C1170,878,,,
0181C1180,1145,,,
0181C1190,609,,,
0181C1200,950,,,
0181C1210,852,,,
0181C1220,1042,,,
0181C1230,488,,,
0181C1240,1077,,,
0181C1250,867,,,
0181C1260,842,,,
0181C1270,788,,,
0181C1280,1754,,,
0181C1290,898,,,
0181C1300,982,,,
0181C1310,1310,,,
0181C1320,722,,,
0181C1330,684,,,
0181C1340,802,,,
0181C1350,946,,,
0181C1360,734,,,
0181C1370,867,,,
0181C1380,828,,,
0181C1390,879,,,
0182C1010,745,,,
0182C1020,689,,,
0182C1030,1132,,,
0182C1040,873,,,
0182C1050,359,,,
0182C1060,708,,,
0182C1070,574,,,
0182C1080,680,,,
0182C1090,852,,,
0182C1100,445,,,
0182C1110,981,,,
0182C1120,998,,,
0182C1130,257,,,
0182C1140,840,,,
0182C1150,1075,,,
0182C1160,390,,,
0182C1170,932,,,
0182C1180,751,,,
0182C1190,850,,,
0182C1200,642,,,
0182C1210,826,,,
0182C1220,585,,,
0182C1230,1278,,,
0182C1240,795,,,
0182C1250,1309,,,
0182C1260,816,,,
0182C1270,568,,,
0182C1280,1291,,,
0182C1290,1348,,,
0182C1300,896,,,
0182C1310,997,,,
0182C1320,1001,,,
0182C1330,1102,,,
0182C1340,575,,,
0182C1350,1162,,,
0182C1360,265,,,
0182C1370,1260,,,
0182C1380,759,,,
0182C1390,1372,,,
0182C1400,969,,,
0182C1410,1471,,,
0182C1420,822,,,
0182C1430,286,,,
0182C1440,1380,,,
0182C1450,760,,,
0182C1460,872,,,
0182C1470,674,,,
0182C1480,833,,,
0182C1490,1268,,,
0182C1500,812,,,
0182C1510,808,,,
0182C1520,862,,,
0182C1530,527,,,
0183C1010,1550,,,
0183C1020,943,,,
0183C1030,1330,,,
0183C1040,927,,,
0183C1050,1460,,,
0183C1060,929,,,
0183C1070,1001,,,
0183C1080,1233,,,
0183C1090,777,,,
0183C1100,856,,,
0183C1110,695,,,
0183C1120,1007,,,
0183C1130,841,,,
0183C1140,467,,,
0183C1150,1034,,,
0183C1160,1146,,,
0183C1170,757,,,
0183C1180,1043,,,
0183C1190,1053,,,
0183C1200,870,,,
0183C1210,832,,,
0183C1220,742,,,
0183C1230,819,,,
0183C1240,1503,,,
0183C1250,762,,,
0183C1260,1187,,,
0184C1010,797,,,
0184C1020,891,,,
0184C1030,1546,,,
0184C1040,966,,,
0184C1050,1817,,,
0184C1060,949,,,
0184C1070,796,,,
0184C1080,1145,,,
0184C1090,1196,,,
0184C1100,872,,,
0184C1110,985,,,
0184C1120,927,,,
0184C1130,860,,,
0184C1140,797,,,
0184C1150,731,,,
0184C1160,929,,,
0184C1170,957,,,
0184C1180,916,,,
0184C1190,1049,,,
0184C1200,858,,,
0184C1210,1002,,,
0184C1220,1314,,,
0184C1230,1510,,,
0184C1240,964,,,
0184C1250,854,,,
0184C1260,1091,,,
0184C1270,1368,,,
0184C1280,1213,,,
0184C1290,1021,,,
0184C1300,899,,,
0184C1310,1507,,,
0184C1320,513,,,
0184C1330,907,,,
0184C1340,600,,,
0184C1350,909,,,
0184C1360,939,,,
0184C1370,742,,,
0184C1380,813,,,
0184C1390,1091,,,
0184C1400,1204,,,
0184C1410,1225,,,
0184C1420,699,,,
0184C1430,528,,,
0186C1010,1320,,,
0186C1020,782,,,
0186C1030,877,,,
0186C1040,639,,,
0186C1050,1133,,,
0186C1060,424,,,
0186C1070,715,,,
0186C1080,761,,,
0186C1090,919,,,
0186C1100,1003,,,
0186C1110,747,,,
0186C1120,791,,,
0186C1130,906,,,
0186C1140,696,,,
0186C1150,1011,,,
0186C1160,678,,,
0186C1170,771,,,
0186C1180,886,,,
0186C1190,672,,,
0186C1200,597,,,
0186C1210,759,,,
0186C1220,885,,,
0186C1230,733,,,
0186C1240,793,,,
0186C1250,808,,,
0186C1260,650,,,
0187A0010,992,,,
0187C1010,832,,,
0187C1020,967,,,
0187C1030,836,,,
0187C1040,319,,,
0187C1050,538,,,
0187C1060,515,,,
0188A0010,645,,,
0188A0020,716,,,
0188A0030,809,,,
0188A0040,1014,,,
0188A0050,577,,,
0188A0060,1083,,,
0188A0070,695,,,
0188A0080,566,,,
0188A0090,560,,,
0188A0100,576,,,
0188A0110,448,,,
0188A0120,587,,,
0188A0130,585,,,
0188A0140,705,,,
0188A0150,587,,,
0188A0160,762,,,
0188A0170,570,,,
0188A0180,1008,,,
0188A0190,692,,,
0188B2010,834,,,
0188B2020,818,,,
0188B2030,922,,,
0188B3010,634,,,
0188B3020,696,,,
0188B3030,1014,,,
0188B4010,822,,,
0188B5010,653,,,
0188C1010,1039,,,
0188C1020,1053,,,
0188C1030,738,,,
0188C1040,1203,,,
