from_node,to_node,distance
1,61339,24406.430198354607
2,61339,24453.444577294245
3,61339,24471.761906796186
6,7101,4196.00722060777
7,7101,3779.5540770796783
8,37786,736.8708114213681
9,37786,304.5916338595156
10,37786,1425.1884234162505
11,37786,1336.795931998374
12,37786,1031.3459454668816
13,37786,850.628664859659
14,37786,983.4823881001336
15,37786,534.9370773590736
16,37786,494.17542813047476
17,37786,626.9305483702769
18,37786,814.3309940406024
19,37786,413.07449182797956
20,37786,504.3580662209205
21,19958,1105.707717065268
22,24968,2050.587862988808
23,57615,1757.6747441196233
24,57615,1858.0026369607608
25,57615,1858.4350849638438
26,24968,1585.9873011912591
27,57615,1578.299524478228
28,57615,1689.2867348817808
29,19958,992.8811017058174
30,24968,1593.976624042067
31,24968,1416.4597292358283
32,24968,1466.1336554756776
33,19958,1117.2710465533564
36,24751,402.21237162700425
37,24751,311.97719916206114
38,24751,290.3531219912339
39,24751,137.9188523708617
40,24751,158.2282009335055
41,24751,344.2033390661191
42,24751,741.5428346449015
43,57196,0
44,57196,0
46,23617,0
47,78906,568.9321008397848
48,78906,657.6712784932187
49,48984,0
50,48984,0
51,48984,0
52,48984,0
53,48984,0
54,48984,0
55,56291,1350.4766828808977
56,19958,809.1094788764474
57,24751,390.86215796827247
58,24751,326.6478610453458
59,56771,6925.334751632627
60,56771,7782.037393024567
61,12012,14826.005428585535
62,12012,15661.088377002932
63,12012,17485.254700969046
64,12012,18888.95723548339
65,19636,525.6116478165088
66,19636,569.0981367023443
67,19636,605.4968717571472
68,19636,562.9659756743887
69,19636,303.6703264975888
70,19636,94.41566359715839
71,22647,88.84141825348775
72,22647,96.68785921005367
73,42767,138.1461653366907
74,41474,316.0077236218894
75,1479,316.92060177730735
76,1479,196.67322508209458
77,1479,230.04358073363616
78,1479,203.90214632968286
79,1479,212.5685317932782
80,19636,668.4805686623737
81,31788,569.7650028626658
82,31788,585.0598556554125
83,31788,540.0621916005202
84,22647,236.71702953766365
85,22647,302.71777617007257
86,68573,216.3159972082896
87,68573,248.73591326380256
88,68573,324.49226833628836
89,19636,192.02007959147969
90,19636,100.59078360535713
91,19636,211.8905020146491
92,19636,188.32301418798608
93,19636,478.43274136234396
94,19636,420.2267182546805
95,19636,657.9762614016563
96,58895,371.6490444620341
97,68573,371.45944170191774
98,68573,297.6397555565524
99,68573,356.06537201387926
104,56771,5131.781203000042
106,27856,464.0324859150288
107,27856,351.02079437797255
108,317,180.73735786012924
109,317,206.51827363108674
110,27856,719.3052387651832
111,27856,538.7331849845633
112,27856,1023.6840643531318
113,27856,900.4366065954442
114,27856,863.6304018225753
115,36101,1035.7662618042725
116,27856,632.8905826426912
117,27856,811.0567433102344
118,27856,941.3008456473153
119,27856,1133.1847604745467
120,27856,992.1351935338371
123,27856,794.0288301390032
124,27856,763.9422228746519
125,78520,2776.4819364897203
126,78520,2823.98059075083
127,78520,8989.473242908787
130,16359,141.62243797347182
131,16359,131.761757212572
132,16359,71.28238064965284
133,16359,54.95040778584077
134,16359,152.95914994534263
135,16359,191.21000222172785
136,16359,315.3269828618668
151,317,111.3156284921734
152,317,126.94751978817432
153,317,149.23894257934086
154,5117,5222.900847352164
155,5117,5300.600468683414
156,5117,5377.028667403852
157,5117,5735.427252282807
158,798,2026.8703858002295
159,798,2017.692399836952
160,798,2033.064381695309
161,798,1674.159691442209
162,798,1692.346833891812
163,798,1538.8565680029944
164,798,1600.3297677453697
171,56256,2257.3951106868653
172,8198,2829.0587733816974
173,68573,424.29984299721895
174,68573,391.94180515739305
175,68573,318.92907943998364
176,68573,298.89069183853786
177,68573,249.11367363481781
178,68573,145.3483132788752
179,68573,285.1778370718763
180,43122,726.0792437551511
181,1458,768.498504894745
182,68573,58.717168957234605
183,68573,18.228657995812362
184,68573,49.3566381215051
185,58895,350.454555163996
186,58895,313.3959101657534
187,68573,418.9166776500434
188,68573,265.56369413831663
189,68573,201.92965638055207
190,58895,353.61213446465325
191,58895,351.311717352379
192,58895,362.43655125632745
193,58895,122.36054355122754
194,58895,147.65124726203982
195,58895,200.54198224832112
196,58895,272.2854454417441
197,58895,261.78948117113725
198,58895,208.794471148536
199,58895,260.0843293348917
200,41474,216.50399728611868
201,48866,238.2615078224363
202,48866,240.26952676499812
203,48866,246.64186626375653
204,48866,247.83355816222704
205,30026,386.0221529674186
206,30026,378.8817567709854
207,65967,493.99007929950545
208,65967,466.53825126351745
209,65967,684.0446454889424
210,65967,670.8030686236258
211,65967,577.4227455713738
212,65967,577.605947307457
213,65967,741.6989803988657
214,65967,684.027413372946
215,65967,627.3123843417208
216,65967,764.9770252284432
217,65967,749.2043761798298
218,65967,812.5163071826086
219,65967,823.4682414220845
220,41656,662.7802457612613
221,41656,602.7035329685805
222,65967,0
223,61478,0
224,61478,0
225,61478,0
226,61478,0
227,3762,737.8413548436611
228,3762,747.3406804028293
229,3762,1166.2244810141
230,3762,877.0003845940719
231,3762,880.870890752423
232,3762,1474.3140750542495
233,3762,1627.8268901926886
234,3762,1593.0381476661082
235,3762,2216.401600796165
236,3762,2270.0218503912183
237,3762,0
238,3762,0
239,3762,0
240,68573,466.72129540504096
241,68573,393.3212233425932
242,68573,495.9540501220538
243,1479,1088.142542411085
244,68573,554.8822373290285
245,68573,590.3166272713147
246,68573,200.32801451295398
247,68573,133.78971886703314
248,68573,273.4498482488221
249,19636,234.4881711992364
250,58895,300.47290950891505
251,58895,397.5034232386681
252,58895,421.29154131117104
253,58895,470.74383252891005
254,68573,675.3020947048252
255,68573,644.9050859157925
256,68573,601.3916187814698
257,68573,633.111004500816
258,58895,462.87316592683175
259,58895,906.6652122319922
260,68573,908.0724368880255
261,31788,335.31895865223083
262,19661,168.1623511105737
263,19661,213.2082643993999
264,19661,237.7917158964446
265,31788,405.434671616203
266,3346,238.4946506776805
267,3346,115.19326170002813
268,3346,59.74019776685516
269,3346,108.36368894984453
270,3346,114.98782796479986
271,3346,174.80499697924185
