from_node,to_node,time,distance
33354,54758,13.872579557717598,8733.95876886545
33355,54758,15.23593183964175,10259.1667212168
33356,54758,15.112768529144164,10198.816699073
33357,54758,10.062137747383604,5552.79969224109
33358,54758,10.090634709940058,5575.59726228625
33359,54758,10.687120252731395,6052.78569651932
33360,54758,11.187690644069843,6453.24200959008
33361,54758,4.061156943408251,2455.90731151829
33362,54758,5.851725865033497,2917.10258565483
33363,54758,0.4612170442251942,227.047878193272
33364,54758,0.3979629745988793,196.053384076378
33365,54758,0.4286811302479931,211.105280344443
33366,54758,0.4140762562968451,203.948892108381
33367,54758,0.44080546321207315,217.046203496843
33368,54758,0.4451298095495516,219.165133202207
33369,54758,0.45474235315200323,223.875279567408
33370,54758,4.743691549555229,2344.49035157688
33371,54758,5.461809866363869,2722.14458632001
33372,54758,5.8257876532313,2904.13347975373
33373,54758,5.894323391579408,2937.84337989987
33374,54758,0.44744040451213674,220.297324733874
33375,54758,0.4679896464959142,230.366453305925
33376,54758,0.45233817471991444,222.697232135685
33377,54758,0.48336373528541726,237.899756812781
33378,54758,11.781083358910552,7435.9964978357
33379,54758,10.570990753885624,7101.00472302005
33380,54758,9.8740568453516655,6613.15098704628
33381,54758,9.257491970241539,6178.23507608817
33382,54758,15.0690166944976,10249.6228814484
33383,54758,14.752002499916777,10027.7129452419
33384,54758,9.92142768727671,6510.20293460575
33385,54758,9.13411311611333,4720.0069205152
33386,54758,7.787164583365247,5170.25430892018
33387,54758,7.524765667270396,4916.64059218454
33388,54758,10.039610854570336,6568.15911923626
33389,54758,9.932648974519772,6515.81357822728
33390,54758,3.7267119948554264,1845.83331758189
33391,54758,7.209612318230559,4202.04852938087
33392,54758,6.725477090675341,3959.98091560326
33393,54758,12.45714839705001,8421.31507323512
33394,54758,12.940519426196557,8759.67479363771
33395,54758,13.520173431820462,9165.43259757444
33396,54758,9.754153728797913,6547.14671072304
33397,54758,3.916306277033776,1940.63045867106
33398,54758,9.420631685033433,5307.02644168895
33399,54758,15.328854331493766,10304.3726352573
33400,54758,1.7949702352150791,877.058330756217
33401,54758,1.7605231230721787,866.724197113347
33402,54758,1.7608591877788575,866.88886881962
33403,54758,9.454194298207202,5323.47212214409
33404,54758,9.370234497097414,6278.40324853269
33405,54758,5.188347429085481,2867.55826717773
33406,54758,5.1228918817819835,2834.83049352598
33407,54758,5.146575971995539,2846.53613982197
33408,54758,5.247914465802343,2897.20538672538
33409,54758,6.321645023658861,3440.12520302615
33410,54758,6.123779695636892,2971.98045631798
33411,54758,5.9313550321902335,2875.76812459465
33412,54758,6.05492485728897,2937.55303714402
33413,54758,6.0822780558069285,2951.229636403
33414,54758,5.132936090917279,2839.85259809363
33415,54758,7.725925905087203,3847.92034617367
33416,54758,7.235642780292536,3602.77878377634
33417,54758,7.52263316956522,3746.27397841268
33418,54758,8.625647627782838,4297.78120752149
33419,54758,16.110761433691515,10863.9590309167
33420,54758,16.24842752221842,10932.7920751802
33421,54758,16.024943531421965,10821.0500797819
33422,54758,16.083652611018817,10845.4879174749
33423,54758,10.428639971159159,7012.94667468786
33424,54758,16.11665818732953,10866.9074077357
33425,54758,10.466788814488948,7032.02109635275
33426,54758,14.060428046620919,9577.6906073207
33427,54758,14.230435027264305,9660.99402783596
33428,54758,21.658586121739436,14685.9080542792
33429,54758,19.966781079146227,13694.9850552139
33430,54758,19.996822335140678,13707.9653830299
33431,54758,35.542008274748476,18554.4108677731
33432,54758,19.922029926948067,13671.3171030156
33433,54758,8.134788246634582,4133.60208769328
33434,54758,29.27931714701419,19041.72398263
33435,54758,29.136252326216,18998.8045363906
33436,54758,29.279409565140494,19041.7517080679
33437,54758,28.361256241342268,19048.480815872
33438,54758,22.909586972209567,15843.8208010769
33439,54758,3.9432445691084683,1944.2668613535
33440,54758,3.831980777361215,1888.63496547987
33441,54758,1.5408850677406893,759.101550000917
33442,54758,1.514076624485179,745.965412805717
33443,54758,2.0742433703492784,1029.59066887684
33444,54758,2.02781312331658,1006.37554536049
33445,54758,5.630034751171514,3240.34621539993
33446,54758,2.0840622452697026,920.340205691521
33447,54758,1.9998497364894638,992.393851946932
33448,54758,20.699356529591256,10835.7139263976
33449,54758,28.460203875687945,15084.3267122334
33450,54758,0.9457211437089169,472.860571854458
33451,54758,0.9941718560516444,492.240856791549
33452,54758,1.0079303763008791,494.310400540733
33453,54758,0.9455250717510396,469.348278720797
33454,54758,1.902090021704182,851.974258702054
33455,54758,0.9795727437576892,489.786371878845
33456,54758,0.9405541188439817,470.277059421991
33457,54758,3.122094201574718,1424.82246333766
33458,54758,0.8556095333132129,424.076389537443
33459,54758,1.060654163506396,526.598704634035
33460,54758,1.085413385748094,535.536517114767
33461,54758,1.1212822532462956,553.470950863868
33462,54758,2.907510536269288,1401.32048169361
33463,54758,6.18320844616047,3072.39749315843
33464,54758,6.110875260875895,3036.95423236899
33465,54758,12.885399788544852,8240.60122536364
33466,54758,12.812258287931526,8203.93085885222
33467,54758,12.72511753376236,8160.2025712431
33468,54758,12.95453739037234,8274.6918177107
33469,54758,12.894179603995832,8245.11650238621
33470,54758,7.2820882277621894,4203.56642515096
33471,54758,7.36651823489315,4244.93712864514
33472,54758,6.185708763902541,3074.93847855692
33473,54758,6.272138928130918,3117.28925902882
33474,54758,5.284827751704681,2610.77353891281
33475,54758,5.325333699941664,2630.62145354893
33476,54758,3.895393510719151,1922.60144486027
33477,54758,13.882814412383429,9840.86666953952
33478,54758,13.5624680260448,9680.69347637021
33479,54758,18.282523687751045,13070.2943703343
33480,54758,18.1893367950378,12312.5867090863
33481,54758,17.186993615469763,11367.8098065617
33482,54758,15.872816312417108,10447.8856944248
33483,54758,17.344031019229345,11373.5235575957
33484,54758,17.381216143163684,11392.1161195628
33485,54758,17.419044725425604,11411.0304106938
33486,54758,8.736542946128761,5030.24384746335
33487,54758,7.811033915274688,4567.48933203631
33488,54758,7.249000602785439,4286.47267579169
33489,54758,6.999516115685485,4161.73043224171
33490,54758,6.699443862755135,4011.69430577654
33491,54758,6.689512505194498,4006.72862699622
33492,54758,6.4415743857980345,3882.75956729799
33493,54758,6.26498482928708,3794.46478904251
33494,54758,6.226014765072178,3774.97975693506
33495,54758,6.0714000138017905,3697.67238129986
33496,54758,5.979075665364952,3651.51020708144
33497,54758,5.877270565662921,3600.60765723043
